,frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml,chl_cell,cell_cm,fv_fm,sigma,p,pmax
1,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.97,0.368,0.321,0.067,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
2,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.867,0.325,0.294,0.103,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
3,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.704,0.292,0.234,0.069,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
4,mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.94,0.311,0.262,0.073,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
5,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.808,0.423,0.317,0.34,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
6,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.905,0.348,0.218,0.262,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
7,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.839,0.324,0.369,0.215,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
8,mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.881,0.395,0.243,0.169,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
9,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.607,0.305,0.23,0.108,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
10,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.908,0.312,0.338,0.143,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
11,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.974,0.352,0.216,0.115,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
12,mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.8,0.419,0.322,0.123,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
13,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.437,0.418,0.39,0.033,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
14,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.312,0.352,0.401,0.034,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
15,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.074,0.428,0.427,0.095,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
16,mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.108,0.23,0.298,0.051,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
17,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.99,0.234,0.344,0.071,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
18,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.959,0.237,0.354,0.056,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
19,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.86,0.253,0.31,0.019,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
20,mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.773,0.266,0.35,0.047,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
21,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.27,0.458,0.317,0.046,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
22,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.082,0.469,0.396,0.074,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
23,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.267,0.483,0.407,0.038,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
24,mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.163,0.485,0.294,0.053,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
25,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.058,0.35,0.236,0.019,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
26,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.051,0.346,0.339,0.059,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
27,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.778,0.235,0.281,0.031,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
28,mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.693,0.259,0.195,0.058,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
29,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.005,0.392,0.424,0.036,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
30,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.984,0.46,0.377,0.038,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
31,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.934,0.286,0.321,0.045,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
32,mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.122,0.52,0.328,0.03,1.089390457,1.43E-07,537714.8371,0.423944444,668.0722222,0.373888889,91.06666667
33,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.389,0.498,0.484,0.066,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
34,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.484,0.516,0.573,0.241,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
35,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.544,0.536,0.601,0.129,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
36,mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.538,0.581,0.562,0.036,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
37,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.72,0.69,0.422,0.172,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
38,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.622,0.536,0.499,0.109,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
39,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.604,0.681,0.434,0.037,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
40,mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.767,0.565,0.565,0.172,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
41,mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.396,0.39,0.572,0.079,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
42,mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.346,0.599,0.397,0.044,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
43,mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.436,0.51,0.45,0.031,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
44,mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.403,0.397,0.526,0.04,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
45,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.797,0.175,0.334,0.064,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
46,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.888,0.321,0.272,0.062,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
47,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.868,0.327,0.293,0.015,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
48,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,1.019,0.349,0.39,0.021,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
49,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.882,0.364,0.334,0.031,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
50,mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.156,0.358,0.434,0.033,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
51,mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.344,0.412,0.309,0.06,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
52,mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.356,0.471,0.453,0.134,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
53,mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.364,0.545,0.489,0.036,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
54,mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,1.135,0.347,0.449,0.08,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
55,mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,1.138,0.389,0.302,0.024,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
56,mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,0.896,0.355,0.304,0.124,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
57,mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,1.183,0.362,0.374,0.097,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
58,mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,0.659,0.16,0.241,0.119,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
59,mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,1.176,0.412,0.382,0.075,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
60,mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,1.154,0.463,0.291,0.092,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
61,mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,1.073,0.492,0.386,0.039,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
62,mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,1.086,0.358,0.311,0.097,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
63,mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,0.85,0.318,0.24,0.017,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
64,mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,1.008,0.383,0.391,0.027,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
65,mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,1.224,0.449,0.213,0.051,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
66,mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,1.166,0.336,0.337,0.025,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
67,mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,1.134,0.442,0.291,0.042,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
68,mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,1.008,0.391,0.397,0.06,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
69,mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,0.95,0.299,0.235,0.099,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
158,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.957,0.341,0.356,0.092,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
159,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,1.101,0.414,0.3,0.232,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
160,mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.954,0.504,0.368,0.138,1.975378643,1.37E-07,503549.13,0.387111111,610.2444444,0.325555556,117.2666667
70,mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.069,0.404,0.319,0.072,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
71,mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.003,0.392,0.325,0.069,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
72,mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.164,0.319,0.453,0.122,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
73,mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.079,0.36,0.44,0.127,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
74,mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.273,0.437,0.29,0.155,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
75,mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.366,0.549,0.405,0.165,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
76,mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.553,0.582,0.483,0.153,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
