,frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml,chl_cell,cell_cm,fv_fm,sigma,p,pmax
77,mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.172,0.621,0.429,0.065,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
78,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.957,0.368,0.284,0.087,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
79,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.919,0.378,0.291,0.08,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
80,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.194,0.503,0.356,0.062,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
81,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.146,0.546,0.319,0.137,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
82,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.563,0.641,0.52,0.094,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
83,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.742,0.632,0.599,0.11,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
84,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.558,0.869,0.436,0.248,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
85,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.559,0.772,0.422,0.107,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
86,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.349,0.476,0.46,0.138,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
87,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.192,0.538,0.376,0.168,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
88,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.148,0.462,0.393,0.133,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
89,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.361,0.515,0.392,0.095,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
90,mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.992,0.366,0.275,0.045,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
91,mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.974,0.366,0.299,0.109,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
92,mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.932,0.291,0.328,0.07,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
93,mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.938,0.358,0.33,0.069,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
94,mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,1.004,0.346,0.349,0.142,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
95,mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,0.917,0.227,0.362,0.099,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
96,mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,1.036,0.239,0.38,0.113,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
97,mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,1.029,0.33,0.369,0.028,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
98,mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.142,0.407,0.422,0.038,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
99,mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.151,0.454,0.39,0.04,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
100,mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.038,0.555,0.351,0.036,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
101,mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.106,0.489,0.349,0.022,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
161,cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.826,0.264,0.287,0.014,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
162,cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.386,0.426,0.492,0.108,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
163,cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.813,0.545,0.483,0.144,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
164,cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.351,0.457,0.384,0.074,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
102,mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.243,0.392,0.428,0.039,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
103,mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.101,0.455,0.209,0.041,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
104,mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.039,0.384,0.223,0.059,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
105,mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.09,0.404,0.358,0.127,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
106,mf_40_mcav_2,marthas,40,2,montastrea_cavernosa,1.721,0.543,0.57,0.127,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
107,mf_40_mcav_2,marthas,40,2,montastrea_cavernosa,1.494,0.419,0.578,0.011,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
108,mf_40_mcav_2,marthas,40,2,montastrea_cavernosa,1.595,0.491,0.516,0.017,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
109,mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.065,0.413,0.382,0.03,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
110,mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.117,0.346,0.3,0.017,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
111,mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.109,0.408,0.402,0.05,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
112,mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.177,0.37,0.465,0.039,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
113,mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.379,0.426,0.401,0.03,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
114,mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.217,0.426,0.412,0.088,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
115,mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,0.889,0.189,0.295,0.125,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
116,mf_40_mcav_5,marthas,40,5,montastrea_cavernosa,1.196,0.35,0.407,0.198,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
117,mf_40_mcav_5,marthas,40,5,montastrea_cavernosa,1.305,0.368,0.489,0.111,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
118,mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.402,0.582,0.402,0.103,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
119,mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.494,0.587,0.474,0.031,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
120,mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.657,0.593,0.647,0.018,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
121,mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.389,0.731,0.397,0.029,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
122,mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.407,0.54,0.543,0.023,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
123,mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.329,0.349,0.391,0.049,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
124,mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.259,0.581,0.426,0.092,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
125,mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.189,0.523,0.36,0.037,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
126,mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.321,0.506,0.381,0.04,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
127,mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,0.95,0.511,0.282,0.083,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
128,mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.071,0.563,0.389,0.183,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
129,mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.12,0.456,0.341,0.187,1.9254436,2.57E-07,607288.7535,0.3965,754.7233333,0.392,97.19333333
130,mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.081,0.314,0.199,0.017,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
131,mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,0.652,0.361,0.227,0.047,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
132,mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.051,0.519,0.174,0.038,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
133,mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.113,0.318,0.265,0.066,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
134,mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.459,0.536,0.469,0.041,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
135,mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.605,0.562,0.48,0.011,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
136,mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.609,0.564,0.312,0.017,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
137,mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.691,0.564,0.454,0.013,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
138,mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.831,0.629,0.467,0.031,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
139,mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.412,0.57,0.345,0.064,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
140,mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.563,0.468,0.431,0.052,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
141,mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.294,0.564,0.454,0.045,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
142,mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.489,0.608,0.353,0.075,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
143,mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.322,0.564,0.264,0.034,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
144,mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.076,0.477,0.331,0.03,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
145,mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,0.827,0.387,0.271,0.03,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
146,mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,0.967,0.283,0.234,0.019,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
147,mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,1.023,0.395,0.298,0.041,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
148,mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,1.019,0.384,0.336,0.091,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
149,mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,0.714,0.272,0.271,0.034,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
150,mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.799,0.289,0.243,0.042,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
151,mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.833,0.258,0.2,0.036,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
152,mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.871,0.265,0.149,0.051,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
153,mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.659,0.29,0.215,0.074,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
154,mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.921,0.255,0.25,0.063,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
155,mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,1.06,0.253,0.212,0.059,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
156,mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.906,0.2,0.293,0.038,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333
157,mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.8,0.269,0.293,0.081,2.164571457,3.65E-07,283130.9991,0.3965,754.7233333,0.392,97.19333333