"","...1","sample","site","species","depth","six_six_three","six_six_four","six_three_zero","six_four_seven","six_nine_one","ug_ml","zoox_count","avg_count","surface_area_cm2","adj_vol","resuspend_ml","vol_counted","cell_ml","cell_cm","chl_cell","mean_chl_cell","mean_cell_cm"
"1",1,"CC-MCAV 10M 1.1","coral_city","mcav",10,0.0835,0.08225,0.05475,0.0515,0.04175,0.850806675,129,129.75,25.201,10.8,1,1e-04,14013000,556000,6.07155266538215e-08,6.44979555936306e-08,786500
"2",2,"CC-MCAV 10M 3.1","coral_city","mcav",10,0.0525,0.04125,0.03775,0.0225,0.01275,0.447646075,231,251.25,15.54,6,1,1e-04,15075000,970000,2.96945986733002e-08,6.44979555936306e-08,786500
"3",3,"CC-MCAV 10M 4.1","coral_city","mcav",10,0.1025,0.10125,0.03775,0.0415,0.01375,1.129645975,160,166.75,51.426,15,1,1e-04,25012500,486000,4.51632573713143e-08,6.44979555936306e-08,786500
"4",4,"CC-MCAV 10M 6.1","coral_city","mcav",10,0.0955,0.09825,0.03275,0.0365,0.02475,1.085159775,96,96.6,12.353,8.8,1,1e-04,8500800,688000,1.27653841403162e-07,6.44979555936306e-08,786500
"5",5,"CC-MCAV 10M 7.1","coral_city","mcav",10,0.0155,0.01525,0.00875,0.0085,0.00775,0.159103775,136,131.75,10.416,6,1,1e-04,7905000,759000,2.01269797596458e-08,6.44979555936306e-08,786500
"6",6,"CC-MCAV 10M 8.1","coral_city","mcav",10,0.1505,0.13825,0.06575,0.0605,0.02575,1.530485875,142,152.25,11.73,9.7,1,1e-04,14768250,1260000,1.0363352970054e-07,6.44979555936306e-08,786500
"7",7,"CC-MCAV 20M 1.1","coral_city","mcav",20,0.0385,0.03925,0.02275,0.0235,0.01375,0.415600075,176,146.5,30.954,7.8,1,1e-04,11427000,369000,3.63700074385228e-08,2.53303807534586e-07,571800
"8",8,"CC-MCAV 20M 3.1","coral_city","mcav",20,0.0515,0.05225,0.02375,0.0225,0.01975,0.564371475,165,150.5,19.819,10.7,1,1e-04,16103500,813000,3.50465100754494e-08,2.53303807534586e-07,571800
"9",9,"CC-MCAV 20M 5.1","coral_city","mcav",20,0.0605,0.06025,0.02575,0.0245,0.00775,0.674259075,272,256.25,15.9,7.2,1,1e-04,18450000,1160000,3.65452073170732e-08,2.53303807534586e-07,571800
"10",10,"CC-MCAV 20M 6.1","coral_city","mcav",20,0.1985,0.19525,0.05575,0.0645,0.03275,2.190978075,30,60.8,13.204,6,1,1e-04,3648000,276000,6.00597060032895e-07,2.53303807534586e-07,571800
"11",11,"CC-MCAV 20M 7.1","coral_city","mcav",20,0.1305,0.13025,0.04175,0.0385,0.00875,1.489753875,56,44.5,11.092,6,1,1e-04,2670000,241000,5.57960252808989e-07,2.53303807534586e-07,571800
"12",12,"CC-MCAV 30M 1.1","coral_city","mcav",30,0.0815,0.08225,0.04475,0.0415,0.03575,0.873556275,42,37.75,13.093,11.5,1,1e-04,4341250,332000,2.01222291966599e-07,2.62817946891572e-07,647825
"13",13,"CC-MCAV 30M 2.1","coral_city","mcav",30,0.0575,0.05525,0.02575,0.0265,0.01775,0.596735075,145,142.5,24.124,7.6,1,1e-04,10830000,449000,5.51001915974146e-08,2.62817946891572e-07,647825
"14",14,"CC-MCAV 30M 3.1","coral_city","mcav",30,0.1945,0.19625,0.08475,0.0775,0.07375,2.131162275,16,30.75,19.097,6,1,1e-04,1845000,96600,1.15510150406504e-06,2.62817946891572e-07,647825
"15",15,"CC-MCAV 30M 4.1","coral_city","mcav",30,0.1305,0.12725,0.04575,0.0455,0.01375,1.435856375,194,206,17.24,10.8,1,1e-04,22248000,1290000,6.45386720154621e-08,2.62817946891572e-07,647825
"16",16,"CC-MCAV 30M 5.1","coral_city","mcav",30,0.0375,0.03925,0.01875,0.0235,0.01275,0.415703075,207,178.25,50.51,16.4,1,1e-04,29233000,579000,1.42203357506927e-08,2.62817946891572e-07,647825
"17",17,"CC-MCAV 30M 6.1","coral_city","mcav",30,0.2595,0.25825,0.08275,0.0795,0.03575,2.921904675,78,80.75,13.813,8,1,1e-04,6460000,468000,4.52307225232198e-07,2.62817946891572e-07,647825
"18",18,"CC-MCAV 30M 7.1","coral_city","mcav",30,0.1435,0.14425,0.04775,0.0445,0.01675,1.637028275,98,136,25.258,9.8,1,1e-04,13328000,528000,1.2282625112545e-07,2.62817946891572e-07,647825
"19",19,"CC-MCAV 30M 8.1","coral_city","mcav",30,0.1215,0.12225,0.03175,0.0365,0.00175,1.404392475,347,377.25,26.168,10,1,1e-04,37725000,1440000,3.72271033797217e-08,2.62817946891572e-07,647825
"20",20,"CC-MCAV 40M 1.1","coral_city","mcav",40,0.0295,0.02725,0.02175,0.0205,0.01375,0.277183275,44,40.5,54.002,14.2,1,1e-04,5751000,106496.06,4.81974047991654e-08,1.98797766751982e-07,832058.67
"21",21,"CC-MCAV 40M 2.1","coral_city","mcav",40,0.2015,0.20025,0.06875,0.0745,0.02375,2.250404175,201,162.75,18.821,7.6,1,1e-04,12369000,657191.44,1.81939055299539e-07,1.98797766751982e-07,832058.67
"22",22,"CC-MCAV 40M 3.1","coral_city","mcav",40,0.1565,0.15725,0.06875,0.0605,0.04575,1.729809375,160,158.5,23.487,7.6,1,1e-04,12046000,512879.47,1.43600313382036e-07,1.98797766751982e-07,832058.67
"23",23,"CC-MCAV 40M 4.1","coral_city","mcav",40,0.2555,0.25525,0.08775,0.0845,0.02175,2.899017475,264,276.5,11.903,7.8,1,1e-04,21567000,1811896.16,1.34419134557426e-07,1.98797766751982e-07,832058.67
"24",24,"CC-MCAV 40M 5.1","coral_city","mcav",40,0.3815,0.38425,0.13375,0.1235,0.06075,4.331101775,127,113.25,17.254,6,1,1e-04,6795000,393821.72,6.37395404709345e-07,1.98797766751982e-07,832058.67
"25",25,"CC-MCAV 40M 7.1","coral_city","mcav",40,0.2225,0.22325,0.06875,0.0705,0.03275,2.519239375,190,161,13.747,9,1,1e-04,14490000,1054048.16,1.73860550379572e-07,1.98797766751982e-07,832058.67
"26",26,"CC-MCAV 40M 8.1","coral_city","mcav",40,0.1205,0.12025,0.03775,0.0365,0.00775,1.373911875,225,257.25,14.779,7.4,1,1e-04,19036500,1288077.68,7.21725041367898e-08,1.98797766751982e-07,832058.67
"27",27,"CC-MCAV 50M 1.1","coral_city","mcav",50,0.3035,0.30025,0.10375,0.1115,0.04175,3.365995375,91,93,8.638,5,1,1e-04,4650000,538319.06,7.2386997311828e-07,2.15424318588146e-07,783277.337142857
"28",28,"CC-MCAV 50M 2.1","coral_city","mcav",50,0.1915,0.19225,0.09875,0.0955,0.05975,2.076587475,282,320.25,36.354,7,1,1e-04,22417500,616644.66,9.26324289059886e-08,2.15424318588146e-07,783277.337142857
"29",29,"CC-MCAV 50M 3.1","coral_city","mcav",50,0.1855,0.18325,0.05575,0.0605,0.00875,2.088976075,210,210.5,7.461,5.1,1,1e-04,10735500,1438882.19,1.94585820408924e-07,2.15424318588146e-07,783277.337142857
"30",30,"CC-MCAV 50M 4.1","coral_city","mcav",50,0.1485,0.14925,0.04275,0.0395,0.00875,1.715277075,77,77,27.589,10.6,1,1e-04,8162000,295842.55,2.10154015559912e-07,2.15424318588146e-07,783277.337142857
"31",31,"CC-MCAV 50M 5.1","coral_city","mcav",50,0.0445,0.04525,0.01075,0.0115,-0.00025,0.524292875,183,158.25,14.273,5,1,1e-04,7912500,554368.39,6.62613428120063e-08,2.15424318588146e-07,783277.337142857
"32",32,"CC-MCAV 50M 7.1","coral_city","mcav",50,0.2155,0.21625,0.06475,0.0655,0.00675,2.480240475,228,260,19.633,8,1,1e-04,20800000,1059440.74,1.19242330528846e-07,2.15424318588146e-07,783277.337142857
"33",33,"CC-MCAV 50M 8.1","coral_city","mcav",50,0.1005,0.10125,0.03475,0.0305,0.01375,1.147883775,212,189,11.578,6,1,1e-04,11340000,979443.77,1.01224318783069e-07,2.15424318588146e-07,783277.337142857
"34",34,"MF-MCAV 10M 1.1","marthas","mcav",10,0.1205,0.1215,0.0535,0.0495,0.0475,1.3144727,119,104.25,28.874,9.4,1,1e-04,9799500,339388.38,1.34136711056687e-07,1.42861614801661e-07,537714.837142857
"35",35,"MF-MCAV 10M 2.1","marthas","mcav",10,0.1205,0.1215,0.0495,0.0435,0.0315,1.3465257,74,60.25,16.145,7.6,1,1e-04,4579000,283617.22,2.94065450971828e-07,1.42861614801661e-07,537714.837142857
"36",36,"MF-MCAV 10M 4.1","marthas","mcav",10,0.0975,0.1215,0.0375,0.0385,0.0365,1.3441324,146,128.25,15.393,11.4,1,1e-04,14620500,949814.85,9.19347765124312e-08,1.42861614801661e-07,537714.837142857
"37",37,"MF-MCAV 10M 5.1","marthas","mcav",10,0.0575,0.0975,0.0275,0.0275,0.0175,1.1005675,46,64.75,8.051,7,1,1e-04,4532500,562973.54,2.42816878102592e-07,1.42861614801661e-07,537714.837142857
"38",38,"MF-MCAV 10M 6.1","marthas","mcav",10,0.0305,0.0565,0.0165,0.0165,0.0095,0.6378827,115,119.5,24.042,14.6,1,1e-04,17447000,725688.38,3.65611681091305e-08,1.42861614801661e-07,537714.837142857
"39",39,"MF-MCAV 10M 7.1","marthas","mcav",10,0.1485,0.0305,0.0545,0.0505,0.0245,0.2590377,73,66.75,15.089,4,1,1e-04,2670000,176950.1,9.70178651685393e-08,1.42861614801661e-07,537714.837142857
"40",40,"MF-MCAV 10M 8.1","marthas","mcav",10,0.1585,0.1475,0.0535,0.0555,0.0415,1.6231145,151,174.25,21.614,9,1,1e-04,15682500,725571.39,1.03498453690419e-07,1.42861614801661e-07,537714.837142857
"41",41,"MF-MCAV 20M 2.1","marthas","mcav",20,0.1765,0.1765,0.0695,0.0635,0.0255,1.9837083,132,132.25,20.514,11.2,1,1e-04,14812000,722043.48,1.33925756143667e-07,1.37338829753509e-07,503549.13
"42",42,"MF-MCAV 20M 3.1","marthas","mcav",20,0.1625,0.1625,0.0675,0.0595,0.0385,1.8042219,56,62.5,58.961,25.6,1,1e-04,1.6e+07,271365.82,1.1276386875e-07,1.37338829753509e-07,503549.13
"43",43,"MF-MCAV 20M 4.1","marthas","mcav",20,0.2255,0.1625,0.0695,0.0785,0.0215,1.7959844,47,32.75,30.694,18,1,1e-04,5895000,192057.08,3.04662324003393e-07,1.37338829753509e-07,503549.13
"44",44,"MF-MCAV 20M 5.1","marthas","mcav",20,0.2515,0.2225,0.0925,0.0825,0.0445,2.4803723,161,155.5,28.05,12,1,1e-04,18660000,665240.64,1.32924560557342e-07,1.37338829753509e-07,503549.13
"45",45,"MF-MCAV 20M 6.1","marthas","mcav",20,0.0675,0.2505,0.0315,0.0295,0.0255,2.9144159,471,404,246.982,22,1,1e-04,88880000,359864.28,3.27904579207921e-08,1.37338829753509e-07,503549.13
"46",46,"MF-MCAV 20M 7.1","marthas","mcav",20,0.1825,0.0675,0.1105,0.0555,0.0095,0.732276,68,88,13.637,8.2,1,1e-04,7216000,529148.64,1.01479490022173e-07,1.37338829753509e-07,503549.13
"47",47,"MF-MCAV 20M 8.1","marthas","mcav",20,0.0395,0.1815,0.0215,0.0215,0.0145,2.1166717,194,185.25,18.876,8,1,1e-04,14820000,785123.97,1.42825350877193e-07,1.37338829753509e-07,503549.13
"48",48,"MF-MCAV 30M 1.1","marthas","mcav",30,0.0465,0.0455,0.0325,0.0315,0.0225,0.4669816,106,93.25,36.542,13.4,1,1e-04,12495500,341948.9902,3.73719819134889e-08,1.7280032551274e-07,449041.61440125
"49",49,"MF-MCAV 30M 2.1","marthas","mcav",30,0.1365,0.1355,0.0535,0.0535,0.0195,1.5147543,305,224,46.236,13.2,1,1e-04,29568000,639501.687,5.12295150162338e-08,1.7280032551274e-07,449041.61440125
"50",50,"MF-MCAV 30M 3.1","marthas","mcav",30,0.0815,0.0815,0.0335,0.0335,0.0375,0.8723487,96,111.25,19.318,16.6,1,1e-04,18467500,955973.7033,4.72369676458644e-08,1.7280032551274e-07,449041.61440125
"51",51,"MF-MCAV 30M 4.1","marthas","mcav",30,0.2475,0.0815,0.0885,0.0815,0.0295,0.81812,23,17.5,45.835,20,1,1e-04,3500000,76360.85961,2.33748571428571e-07,1.7280032551274e-07,449041.61440125
"52",52,"MF-MCAV 30M 5.1","marthas","mcav",30,0.2355,0.2455,0.0765,0.0765,0.0275,2.7845897,304,104,70.81,8,1,1e-04,8320000,117497.5286,3.34686262019231e-07,1.7280032551274e-07,449041.61440125
"53",53,"MF-MCAV 30M 6.1","marthas","mcav",30,0.1685,0.2335,0.1045,0.0575,0.0375,2.669468,73,57.75,31.095,12.6,1,1e-04,7276500,234008.6831,3.66861540575826e-07,1.7280032551274e-07,449041.61440125
"54",54,"MF-MCAV 30M 7.1","marthas","mcav",30,0.1825,0.1675,0.0575,0.0615,0.0305,1.8685717,46,61.25,47.861,17,1,1e-04,10412500,217557.0924,1.79454665066026e-07,1.7280032551274e-07,449041.61440125
"55",55,"MF-MCAV 30M 8.1","marthas","mcav",30,0.2345,0.1805,0.0695,0.0745,0.0395,1.9922232,157,171.75,14.972,8.8,1,1e-04,15114000,1009484.371,1.31813100436681e-07,1.7280032551274e-07,449041.61440125
"56",56,"MF-MCAV 40M 1.1","marthas","mcav",40,0.2275,0.2235,0.0545,0.0655,0.0125,2.555208,84,88.5,27.479,8.2,1,1e-04,7257000,264092.5798,3.52102521703183e-07,2.56959285673284e-07,607288.7535
"57",57,"MF-MCAV 40M 2.1","marthas","mcav",40,0.1695,0.1665,0.0405,0.0535,0.0075,1.897877,40,44,35.746,10.4,1,1e-04,4576000,128014.3233,4.14745847902098e-07,2.56959285673284e-07,607288.7535
"58",58,"MF-MCAV 40M 3.1","marthas","mcav",40,0.0865,0.1665,0.0245,0.0295,0.0275,1.9059186,55,61.25,12.055,6,1,1e-04,3675000,304852.7582,5.18617306122449e-07,2.56959285673284e-07,607288.7535
"59",59,"MF-MCAV 40M 4.1","marthas","mcav",40,0.1225,0.0865,0.0315,0.0375,0.0105,0.9630381,195,199.75,12.726,6.2,1,1e-04,12384500,973165.1737,7.77615648592999e-08,2.56959285673284e-07,607288.7535
"60",60,"MF-MCAV 40M 5.1","marthas","mcav",40,0.3575,0.1205,0.1005,0.1095,0.0615,1.1931894,64,83,8.895,6,1,1e-04,4980000,559865.0927,2.39596265060241e-07,2.56959285673284e-07,607288.7535
"61",61,"MF-MCAV 40M 7.1","marthas","mcav",40,0.0805,0.3565,0.0335,0.0365,0.0145,4.184662,410,361.75,20.358,10.2,1,1e-04,36898500,1812481.58,1.13410084420776e-07,2.56959285673284e-07,607288.7535
"62",62,"MF-MCAV 40M 8.1","marthas","mcav",40,0.2545,0.0775,0.0715,0.0795,0.0225,0.7782121,94,92.5,45.241,10.2,1,1e-04,9435000,208549.7668,8.2481409644939e-08,2.56959285673284e-07,607288.7535
"63",63,"MF-MCAV 50M 1.1","marthas","mcav",50,0.0295,0.0285,0.0085,0.0095,0.0035,0.321613,70,66,15.883,7,1,1e-04,4620000,290877.0383,6.96132034632035e-08,3.65131136291037e-07,283130.999114286
"64",64,"MF-MCAV 50M 2.1","marthas","mcav",50,0.1385,0.1365,0.0275,0.0365,0.0075,1.5649608,81,54,24.943,8,1,1e-04,4320000,173194.8843,3.62259444444444e-07,3.65131136291037e-07,283130.999114286
"65",65,"MF-MCAV 50M 3.1","marthas","mcav",50,0.2095,0.1365,0.0415,0.0545,0.0155,1.5266896,105,116.25,39.139,7,1,1e-04,8137500,207912.8235,1.87611625192012e-07,3.65131136291037e-07,283130.999114286
"66",66,"MF-MCAV 50M 4.1","marthas","mcav",50,0.1665,0.2075,0.0405,0.0445,0.0145,2.3933115,57,49.75,43.554,10.4,1,1e-04,5174000,118795.059,4.62565036722072e-07,3.65131136291037e-07,283130.999114286
"67",67,"MF-MCAV 50M 5.1","marthas","mcav",50,0.2825,0.1645,0.0755,0.0775,0.0275,1.8150291,116,124.75,26.912,8.4,1,1e-04,10479000,389380.2021,1.73206326939593e-07,3.65131136291037e-07,283130.999114286
"68",68,"MF-MCAV 50M 6.1","marthas","mcav",50,0.3855,0.2795,0.1105,0.1175,0.0395,3.1131214,82,110.5,13.327,5.8,1,1e-04,6409000,480903.4291,4.85742143860197e-07,3.65131136291037e-07,283130.999114286
"69",69,"MF-MCAV 50M 7.1","marthas","mcav",50,0.2665,0.3835,0.0625,0.0795,0.0315,4.4172748,85,73.25,16.894,7.4,1,1e-04,5420500,320853.5575,8.14920173415737e-07,3.65131136291037e-07,283130.999114286
