,...1,sample,site,species,depth,six_six_three,six_six_four,six_three_zero,six_four_seven,six_nine_one,ug_ml,zoox_count,avg_count,surface_area_cm2,adj_vol,resuspend_ml,vol_counted,cell_ml,cell_cm,chl_cell,mean_chl_cell,mean_cell_cm
34,34,MF-MCAV 10M 1.1,marthas,mcav,10,0.1205,0.1215,0.0535,0.0495,0.0475,1.3144727,119,104.25,28.874,9.4,1,1.00E-04,9799500,339388.38,1.34E-07,1.43E-07,537714.8371
35,35,MF-MCAV 10M 2.1,marthas,mcav,10,0.1205,0.1215,0.0495,0.0435,0.0315,1.3465257,74,60.25,16.145,7.6,1,1.00E-04,4579000,283617.22,2.94E-07,1.43E-07,537714.8371
36,36,MF-MCAV 10M 4.1,marthas,mcav,10,0.0975,0.1215,0.0375,0.0385,0.0365,1.3441324,146,128.25,15.393,11.4,1,1.00E-04,14620500,949814.85,9.19E-08,1.43E-07,537714.8371
37,37,MF-MCAV 10M 5.1,marthas,mcav,10,0.0575,0.0975,0.0275,0.0275,0.0175,1.1005675,46,64.75,8.051,7,1,1.00E-04,4532500,562973.54,2.43E-07,1.43E-07,537714.8371
38,38,MF-MCAV 10M 6.1,marthas,mcav,10,0.0305,0.0565,0.0165,0.0165,0.0095,0.6378827,115,119.5,24.042,14.6,1,1.00E-04,17447000,725688.38,3.66E-08,1.43E-07,537714.8371
39,39,MF-MCAV 10M 7.1,marthas,mcav,10,0.1485,0.0305,0.0545,0.0505,0.0245,0.2590377,73,66.75,15.089,4,1,1.00E-04,2670000,176950.1,9.70E-08,1.43E-07,537714.8371
40,40,MF-MCAV 10M 8.1,marthas,mcav,10,0.1585,0.1475,0.0535,0.0555,0.0415,1.6231145,151,174.25,21.614,9,1,1.00E-04,15682500,725571.39,1.03E-07,1.43E-07,537714.8371
41,41,MF-MCAV 20M 2.1,marthas,mcav,20,0.1765,0.1765,0.0695,0.0635,0.0255,1.9837083,132,132.25,20.514,11.2,1,1.00E-04,14812000,722043.48,1.34E-07,1.37E-07,503549.13
42,42,MF-MCAV 20M 3.1,marthas,mcav,20,0.1625,0.1625,0.0675,0.0595,0.0385,1.8042219,56,62.5,58.961,25.6,1,1.00E-04,1.60E+07,271365.82,1.13E-07,1.37E-07,503549.13
43,43,MF-MCAV 20M 4.1,marthas,mcav,20,0.2255,0.1625,0.0695,0.0785,0.0215,1.7959844,47,32.75,30.694,18,1,1.00E-04,5895000,192057.08,3.05E-07,1.37E-07,503549.13
44,44,MF-MCAV 20M 5.1,marthas,mcav,20,0.2515,0.2225,0.0925,0.0825,0.0445,2.4803723,161,155.5,28.05,12,1,1.00E-04,18660000,665240.64,1.33E-07,1.37E-07,503549.13
45,45,MF-MCAV 20M 6.1,marthas,mcav,20,0.0675,0.2505,0.0315,0.0295,0.0255,2.9144159,471,404,246.982,22,1,1.00E-04,88880000,359864.28,3.28E-08,1.37E-07,503549.13
46,46,MF-MCAV 20M 7.1,marthas,mcav,20,0.1825,0.0675,0.1105,0.0555,0.0095,0.732276,68,88,13.637,8.2,1,1.00E-04,7216000,529148.64,1.01E-07,1.37E-07,503549.13
47,47,MF-MCAV 20M 8.1,marthas,mcav,20,0.0395,0.1815,0.0215,0.0215,0.0145,2.1166717,194,185.25,18.876,8,1,1.00E-04,14820000,785123.97,1.43E-07,1.37E-07,503549.13
48,48,MF-MCAV 30M 1.1,marthas,mcav,30,0.0465,0.0455,0.0325,0.0315,0.0225,0.4669816,106,93.25,36.542,13.4,1,1.00E-04,12495500,341948.9902,3.74E-08,1.73E-07,449041.6144
49,49,MF-MCAV 30M 2.1,marthas,mcav,30,0.1365,0.1355,0.0535,0.0535,0.0195,1.5147543,305,224,46.236,13.2,1,1.00E-04,29568000,639501.687,5.12E-08,1.73E-07,449041.6144
50,50,MF-MCAV 30M 3.1,marthas,mcav,30,0.0815,0.0815,0.0335,0.0335,0.0375,0.8723487,96,111.25,19.318,16.6,1,1.00E-04,18467500,955973.7033,4.72E-08,1.73E-07,449041.6144
51,51,MF-MCAV 30M 4.1,marthas,mcav,30,0.2475,0.0815,0.0885,0.0815,0.0295,0.81812,23,17.5,45.835,20,1,1.00E-04,3500000,76360.85961,2.34E-07,1.73E-07,449041.6144
52,52,MF-MCAV 30M 5.1,marthas,mcav,30,0.2355,0.2455,0.0765,0.0765,0.0275,2.7845897,304,104,70.81,8,1,1.00E-04,8320000,117497.5286,3.35E-07,1.73E-07,449041.6144
53,53,MF-MCAV 30M 6.1,marthas,mcav,30,0.1685,0.2335,0.1045,0.0575,0.0375,2.669468,73,57.75,31.095,12.6,1,1.00E-04,7276500,234008.6831,3.67E-07,1.73E-07,449041.6144
54,54,MF-MCAV 30M 7.1,marthas,mcav,30,0.1825,0.1675,0.0575,0.0615,0.0305,1.8685717,46,61.25,47.861,17,1,1.00E-04,10412500,217557.0924,1.79E-07,1.73E-07,449041.6144
55,55,MF-MCAV 30M 8.1,marthas,mcav,30,0.2345,0.1805,0.0695,0.0745,0.0395,1.9922232,157,171.75,14.972,8.8,1,1.00E-04,15114000,1009484.371,1.32E-07,1.73E-07,449041.6144
56,56,MF-MCAV 40M 1.1,marthas,mcav,40,0.2275,0.2235,0.0545,0.0655,0.0125,2.555208,84,88.5,27.479,8.2,1,1.00E-04,7257000,264092.5798,3.52E-07,2.57E-07,607288.7535
57,57,MF-MCAV 40M 2.1,marthas,mcav,40,0.1695,0.1665,0.0405,0.0535,0.0075,1.897877,40,44,35.746,10.4,1,1.00E-04,4576000,128014.3233,4.15E-07,2.57E-07,607288.7535
58,58,MF-MCAV 40M 3.1,marthas,mcav,40,0.0865,0.1665,0.0245,0.0295,0.0275,1.9059186,55,61.25,12.055,6,1,1.00E-04,3675000,304852.7582,5.19E-07,2.57E-07,607288.7535
59,59,MF-MCAV 40M 4.1,marthas,mcav,40,0.1225,0.0865,0.0315,0.0375,0.0105,0.9630381,195,199.75,12.726,6.2,1,1.00E-04,12384500,973165.1737,7.78E-08,2.57E-07,607288.7535
60,60,MF-MCAV 40M 5.1,marthas,mcav,40,0.3575,0.1205,0.1005,0.1095,0.0615,1.1931894,64,83,8.895,6,1,1.00E-04,4980000,559865.0927,2.40E-07,2.57E-07,607288.7535
61,61,MF-MCAV 40M 7.1,marthas,mcav,40,0.0805,0.3565,0.0335,0.0365,0.0145,4.184662,410,361.75,20.358,10.2,1,1.00E-04,36898500,1812481.58,1.13E-07,2.57E-07,607288.7535
62,62,MF-MCAV 40M 8.1,marthas,mcav,40,0.2545,0.0775,0.0715,0.0795,0.0225,0.7782121,94,92.5,45.241,10.2,1,1.00E-04,9435000,208549.7668,8.25E-08,2.57E-07,607288.7535
63,63,MF-MCAV 50M 1.1,marthas,mcav,50,0.0295,0.0285,0.0085,0.0095,0.0035,0.321613,70,66,15.883,7,1,1.00E-04,4620000,290877.0383,6.96E-08,3.65E-07,283130.9991
64,64,MF-MCAV 50M 2.1,marthas,mcav,50,0.1385,0.1365,0.0275,0.0365,0.0075,1.5649608,81,54,24.943,8,1,1.00E-04,4320000,173194.8843,3.62E-07,3.65E-07,283130.9991
65,65,MF-MCAV 50M 3.1,marthas,mcav,50,0.2095,0.1365,0.0415,0.0545,0.0155,1.5266896,105,116.25,39.139,7,1,1.00E-04,8137500,207912.8235,1.88E-07,3.65E-07,283130.9991
66,66,MF-MCAV 50M 4.1,marthas,mcav,50,0.1665,0.2075,0.0405,0.0445,0.0145,2.3933115,57,49.75,43.554,10.4,1,1.00E-04,5174000,118795.059,4.63E-07,3.65E-07,283130.9991
67,67,MF-MCAV 50M 5.1,marthas,mcav,50,0.2825,0.1645,0.0755,0.0775,0.0275,1.8150291,116,124.75,26.912,8.4,1,1.00E-04,10479000,389380.2021,1.73E-07,3.65E-07,283130.9991
68,68,MF-MCAV 50M 6.1,marthas,mcav,50,0.3855,0.2795,0.1105,0.1175,0.0395,3.1131214,82,110.5,13.327,5.8,1,1.00E-04,6409000,480903.4291,4.86E-07,3.65E-07,283130.9991
69,69,MF-MCAV 50M 7.1,marthas,mcav,50,0.2665,0.3835,0.0625,0.0795,0.0315,4.4172748,85,73.25,16.894,7.4,1,1.00E-04,5420500,320853.5575,8.15E-07,3.65E-07,283130.9991