"","Species","Colony","depth","Site","File","DATE","TIME","PAR","Depth(m)","T(C)","Battery_V","Dark_Fo","Fm","Fv","Fv/Fm","Sigma","p","Alp1","Tau1","Alp2","Tau2","Alp3","Tau3","Alp4","Tau4","TauAv1","TauAv2","GAIN","Light_Fo","Fm.1","Fv.1","Fv/Fm.1","Sigma.1","p.1","Alp1.1","Tau1.1","Alp2.1","Tau2.1","Alp3.1","Tau3.1","Alp4.1","Tau4.1","TauAv1.1","TauAv2.1","Pmax.e.s","mean_fv_fm","mean_sig","mean_p","mean_pmax"
"57","MCAV",7,20,"MF",20230710.093,"10/07/2023",60055,829.9,10.6,30.6,15.17,221.2,344.5,123.3,0.358,568.8,0.26,0.63,379,0.21,2416,0.17,142662,"--------","-------",883,24840,300,349,404.5,55.6,0.137,534.1,0.26,0.332,639,0.597,10877,0.071,11548,"--------","-------",7219,7525,138.5,0.385190476190476,588.342857142857,0.308571428571429,135.038095238095
"58","MCAV",1,30,"MF",20230710.102,"10/07/2023",63107,630,17.4,30.3,15.13,622.5,1060.1,437.6,0.413,834.5,0.48,0.6,438,0.3,1864,0.09,25956,"--------","-------",914,3237,0,1285.1,1422.5,137.4,0.097,752.3,0.4,0.126,478,0.77,13907,0.104,13913,"--------","-------",12013,12210,83.2,0.3965,754.723333333333,0.392,97.1933333333333
"59","MCAV",1,30,"MF",20230710.103,"10/07/2023",63114,441,17.4,30.3,15.13,597.4,1023.6,426.2,0.416,832.6,0.46,0.65,446,0.27,2215,0.08,38662,"--------","-------",967,3937,0,1233.6,1404.3,170.7,0.122,652.9,0.4,0.17,570,0.719,13312,0.111,13333,"--------","-------",10874,11147,92,0.3965,754.723333333333,0.392,97.1933333333333
"60","MCAV",1,30,"MF",20230710.104,"10/07/2023",63122,308.7,17.4,30.3,15.13,732.8,1252.3,519.5,0.415,872,0.47,0.65,495,0.23,2134,0.12,17642,"--------","-------",921,2926,0,1475.2,1675.1,199.9,0.119,686.3,0.36,0.186,487,0.149,16675,0.665,16686,"--------","-------",13151,13677,76,0.3965,754.723333333333,0.392,97.1933333333333
"61","MCAV",1,30,"MF",20230710.105,"10/07/2023",63130,273.4,17.3,30.3,15.14,709.5,1201.4,491.9,0.409,863.9,0.51,0.63,440,0.28,2001,0.09,22904,"--------","-------",920,2903,0,1408.6,1627.1,218.5,0.134,648.4,0.37,0.203,545,0.659,15971,0.138,15977,"--------","-------",12338,12840,81.1,0.3965,754.723333333333,0.392,97.1933333333333
"62","MCAV",1,30,"MF",20230710.106,"10/07/2023",63139,306.7,17.3,30.3,15.13,729.7,1202,472.4,0.393,876.7,0.51,0.66,505,0.25,2215,0.08,27606,"--------","-------",980,3172,0,1388.7,1597,208.3,0.13,650.8,0.41,0.201,623,0.664,15278,0.135,15286,"--------","-------",11868,12330,84.3,0.3965,754.723333333333,0.392,97.1933333333333
"63","MCAV",2,30,"MF",20230710.117,"10/07/2023",63316,577.3,17,30.3,15.09,505.5,849.4,343.8,0.405,728.2,0.41,0.64,402,0.26,1702,0.11,35339,"--------","-------",776,4408,0,948.3,1085.9,137.6,0.127,593.1,0.36,0.229,582,0.074,12240,0.697,12261,"--------","-------",9374,9587,106.7,0.3965,754.723333333333,0.392,97.1933333333333
"64","MCAV",2,30,"MF",20230710.118,"10/07/2023",63323,404.1,17.1,30.3,15.07,543.3,947.1,403.8,0.426,718.4,0.37,0.66,439,0.23,2314,0.11,69654,"--------","-------",924,8476,0,1146,1314.6,168.6,0.128,615.4,0.31,0.242,501,0.618,16397,0.14,16421,"--------","-------",11922,12553,83.9,0.3965,754.723333333333,0.392,97.1933333333333
"65","MCAV",2,30,"MF",20230710.119,"10/07/2023",63332,555.6,17,30.3,15.07,544.9,893.9,349,0.39,694.4,0.36,0.64,374,0.27,1795,0.1,51717,"--------","-------",792,5712,0,924.6,1073.4,148.8,0.139,565.5,0.39,0.285,653,0.646,11989,0.069,12105,"--------","-------",8522,8769,117.3,0.3965,754.723333333333,0.392,97.1933333333333
"66","MCAV",2,30,"MF",20230710.12,"10/07/2023",63340,390.5,17.1,30.3,15.08,614.6,1041.8,427.2,0.41,746.7,0.39,0.61,409,0.27,1725,0.12,35974,"--------","-------",817,5051,0,1125.2,1292.2,167,0.129,604.9,0.35,0.254,534,0.625,16230,0.121,16245,"--------","-------",11695,12243,85.5,0.3965,754.723333333333,0.392,97.1933333333333
"67","MCAV",2,30,"MF",20230710.121,"10/07/2023",63349,463.7,17.1,30.3,15.07,547.5,918.9,371.4,0.404,695.3,0.41,0.65,425,0.24,2044,0.1,43433,"--------","-------",866,5252,0,971.8,1128.6,156.8,0.139,562.4,0.35,0.271,613,0.636,14523,0.093,14625,"--------","-------",10361,10757,96.5,0.3965,754.723333333333,0.392,97.1933333333333
"68","MCAV",3,30,"MF",20230710.127,"10/07/2023",63444,839,16.8,30.3,15.05,455.7,703.2,247.5,0.352,574.8,0.31,0.62,364,0.26,1951,0.12,87942,"--------","-------",829,11434,0,805.3,913.2,107.9,0.118,589.6,0.34,0.269,605,0.671,11189,0.06,11238,"--------","-------",8158,8343,122.6,0.3965,754.723333333333,0.392,97.1933333333333
"69","MCAV",3,30,"MF",20230710.128,"10/07/2023",63452,631.3,16.9,30.3,15.04,450,741.9,292,0.394,626.5,0.29,0.67,382,0.22,2250,0.11,72348,"--------","-------",851,8760,0,818.6,940.9,122.3,0.13,556.3,0.3,0.244,606,0.675,12902,0.081,12933,"--------","-------",9633,9899,103.8,0.3965,754.723333333333,0.392,97.1933333333333
"70","MCAV",3,30,"MF",20230710.129,"10/07/2023",63461,773.7,16.8,30.3,15.04,407.6,641.4,233.9,0.365,546.5,0.28,0.65,394,0.22,2184,0.13,69526,"--------","-------",847,9738,0,730.6,838,107.3,0.128,529.2,0.36,0.298,679,0.63,12024,0.071,12208,"--------","-------",8380,8653,119.3,0.3965,754.723333333333,0.392,97.1933333333333
"71","MCAV",3,30,"MF",20230710.13,"10/07/2023",63470,484.7,16.8,30.3,15.04,571.8,962.4,390.6,0.406,690.1,0.36,0.69,459,0.22,2888,0.09,70485,"--------","-------",1053,6981,0,1065.5,1228.4,162.9,0.133,597.6,0.32,0.245,540,0.665,13542,0.09,13547,"--------","-------",10041,10357,99.6,0.3965,754.723333333333,0.392,97.1933333333333
"72","MCAV",3,30,"MF",20230710.131,"10/07/2023",63478,633.3,16.8,30.4,15.04,551.3,863.6,312.3,0.362,609.9,0.27,0.58,407,0.3,2145,0.12,69687,"--------","-------",996,9062,0,829.3,957,127.7,0.133,553.4,0.36,0.319,574,0.614,10803,0.067,11129,"--------","-------",7304,7559,136.9,0.3965,754.723333333333,0.392,97.1933333333333
"73","MCAV",4,30,"MF",20230710.132,"10/07/2023",63514,604.6,17.9,30.3,15.03,697.1,1103,406,0.368,764.2,0.43,0.66,439,0.25,2051,0.09,55468,"--------","-------",882,5680,0,1178.7,1347,168.3,0.125,618,0.42,0.25,584,0.686,10970,0.064,10973,"--------","-------",8194,8372,122,0.3965,754.723333333333,0.392,97.1933333333333
"74","MCAV",4,30,"MF",20230710.133,"10/07/2023",63522,442.1,18,30.3,15.03,685.5,1110.2,424.8,0.383,790.1,0.44,0.62,395,0.29,1801,0.09,26352,"--------","-------",838,3106,0,1339.3,1530.3,191,0.125,649.5,0.44,0.231,536,0.094,13054,0.675,13059,"--------","-------",9868,10167,101.3,0.3965,754.723333333333,0.392,97.1933333333333
"75","MCAV",4,30,"MF",20230710.134,"10/07/2023",63531,556.6,18,30.3,15.04,519.9,869.3,349.4,0.402,675.4,0.41,0.69,445,0.22,2657,0.09,61270,"--------","-------",985,6435,0,980.4,1132.9,152.5,0.135,581.3,0.36,0.251,533,0.081,13246,0.668,13248,"--------","-------",9772,10054,102.3,0.3965,754.723333333333,0.392,97.1933333333333
"76","MCAV",4,30,"MF",20230710.135,"10/07/2023",63539,368.2,18,30.3,15.03,819.2,1338.1,518.8,0.388,851.7,0.45,0.62,430,0.27,1620,0.11,18188,"--------","-------",793,2676,0,1449.1,1656.8,207.6,0.125,667.7,0.42,0.219,534,0.653,14487,0.127,14526,"--------","-------",10982,11434,91.1,0.3965,754.723333333333,0.392,97.1933333333333
"77","MCAV",4,30,"MF",20230710.136,"10/07/2023",63547,523.8,17.9,30.3,15.03,590.4,933.6,343.2,0.368,656.4,0.41,0.61,416,0.27,2050,0.12,36303,"--------","-------",913,5264,0,1006.7,1155.7,149,0.129,598.3,0.36,0.249,549,0.66,13637,0.091,13644,"--------","-------",10056,10382,99.4,0.3965,754.723333333333,0.392,97.1933333333333
"78","MCAV",5,30,"MF",20230710.142,"10/07/2023",63635,557.8,17.4,30.3,15.01,640.9,1059.1,418.2,0.395,772.2,0.42,0.68,446,0.24,2317,0.09,46791,"--------","-------",931,4918,0,1320.9,1473.3,152.5,0.103,690.6,0.37,0.181,481,0.691,15277,0.127,15325,"--------","-------",12203,12600,81.9,0.3965,754.723333333333,0.392,97.1933333333333
"79","MCAV",5,30,"MF",20230710.143,"10/07/2023",63643,440.5,17.4,30.4,15.01,556.3,903.3,347,0.384,734.6,0.42,0.68,438,0.22,2142,0.1,47919,"--------","-------",848,5462,0,1004.7,1147.3,142.5,0.124,580.3,0.34,0.254,594,0.625,16517,0.121,16596,"--------","-------",11918,12486,83.9,0.3965,754.723333333333,0.392,97.1933333333333
"80","MCAV",5,30,"MF",20230710.144,"10/07/2023",63652,293,17.4,30.4,15,776.7,1236.4,459.7,0.372,815.7,0.46,0.63,462,0.28,1899,0.09,26997,"--------","-------",909,3231,0,1415,1617.8,202.8,0.125,645.6,0.38,0.228,551,0.635,16325,0.137,16365,"--------","-------",12154,12731,82.3,0.3965,754.723333333333,0.392,97.1933333333333
"81","MCAV",5,30,"MF",20230710.145,"10/07/2023",63660,288.9,17.4,30.3,15,745.1,1188.3,443.2,0.373,846.9,0.44,0.59,430,0.3,1578,0.11,26398,"--------","-------",813,3617,0,1202,1380.5,178.5,0.129,604.8,0.36,0.246,544,0.632,18240,0.122,18294,"--------","-------",13285,13894,75.3,0.3965,754.723333333333,0.392,97.1933333333333
"82","MCAV",5,30,"MF",20230710.146,"10/07/2023",63668,348.7,17.4,30.4,15.01,406.3,1039.3,633,0.609,1143.3,0,0.24,342,0.02,2503,0.74,2504,"--------","-------",1977,1986,0,1108.5,1282.1,173.6,0.135,584.3,0.34,0.267,578,0.611,16454,0.122,16521,"--------","-------",11624,12222,86,0.3965,754.723333333333,0.392,97.1933333333333
"83","MCAV",6,30,"MF",20230710.147,"10/07/2023",63707,557.8,17.5,30.4,14.98,552.1,865.7,313.7,0.362,637.6,0.33,0.61,393,0.27,2095,0.12,71749,"--------","-------",913,9091,0,960.1,1097.9,137.8,0.126,587.5,0.4,0.265,592,0.663,12410,0.072,12459,"--------","-------",9031,9276,110.7,0.3965,754.723333333333,0.392,97.1933333333333
"84","MCAV",6,30,"MF",20230710.148,"10/07/2023",63715,443.8,17.4,30.4,14.99,644.7,1011.2,366.5,0.362,737.8,0.41,0.64,446,0.27,2228,0.09,43921,"--------","-------",969,4919,0,1063.2,1219.1,155.9,0.128,616.6,0.43,0.249,642,0.079,13236,0.671,13272,"--------","-------",9851,10120,101.5,0.3965,754.723333333333,0.392,97.1933333333333
"85","MCAV",6,30,"MF",20230710.149,"10/07/2023",63724,332,17.4,30.4,14.99,732.5,1241.7,509.1,0.41,805.7,0.45,0.62,430,0.29,1772,0.09,34538,"--------","-------",859,3932,0,1390,1600.6,210.6,0.132,629.1,0.4,0.218,553,0.131,14844,0.651,14850,"--------","-------",11265,11733,88.8,0.3965,754.723333333333,0.392,97.1933333333333
"86","MCAV",6,30,"MF",20230710.15,"10/07/2023",63733,340.8,17.4,30.4,14.99,705.9,1162,456.1,0.393,745.7,0.41,0.61,406,0.29,1995,0.1,33964,"--------","-------",924,4090,0,1165.4,1350.1,184.7,0.137,588.7,0.4,0.25,614,0.636,15373,0.114,15647,"--------","-------",11201,11708,89.3,0.3965,754.723333333333,0.392,97.1933333333333
"87","MCAV",6,30,"MF",20230710.151,"10/07/2023",63741,416.1,17.4,30.4,14.98,723.6,1141.8,418.2,0.366,753.9,0.4,0.6,416,0.31,1893,0.1,37358,"--------","-------",916,4395,0,1169.9,1350.3,180.4,0.134,606,0.42,0.256,637,0.672,12162,0.072,12223,"--------","-------",8986,9220,111.3,0.3965,754.723333333333,0.392,97.1933333333333
"88","MCAV",1,10,"MF",20230710.187,"10/07/2023",67797,900,8.3,30.6,14.83,259.5,432.3,172.8,0.4,527.7,0.3,0.73,443,0.15,3646,0.11,168933,"--------","-------",1001,19935,200,488.1,566.9,78.8,0.139,494.5,0.33,0.315,638,0.615,10802,0.07,12577,"--------","-------",7362,7727,135.8,0.3622,533.136666666667,0.280333333333333,162.286666666667
"89","MCAV",1,10,"MF",20230710.188,"10/07/2023",67806,900,8.3,30.6,14.82,308.4,528.3,219.9,0.416,496.1,0.3,0.67,419,0.23,2413,0.11,134915,"--------","-------",923,15320,0,468.5,557.9,89.4,0.16,457.2,0.26,0.378,648,0.589,9600,0.033,264292,"--------","-------",6098,14660,164,0.3622,533.136666666667,0.280333333333333,162.286666666667
"90","MCAV",1,10,"MF",20230710.189,"10/07/2023",67815,739.1,8.4,30.6,14.83,398.3,697.1,298.8,0.429,659.8,0.38,0.73,432,0.17,2648,0.09,82310,"--------","-------",858,8266,0,794,912.2,118.3,0.13,566.5,0.35,0.244,594,0.686,10766,0.07,10775,"--------","-------",8093,8281,123.6,0.3622,533.136666666667,0.280333333333333,162.286666666667
"91","MCAV",1,10,"MF",20230710.19,"10/07/2023",67827,845.2,8.4,30.6,14.84,332.7,573.9,241.2,0.42,599.3,0.35,0.73,401,0.18,2461,0.1,76287,"--------","-------",803,8101,0,603.2,694.4,91.2,0.131,503.5,0.36,0.285,575,0.648,11023,0.067,11650,"--------","-------",7834,8091,127.6,0.3622,533.136666666667,0.280333333333333,162.286666666667
"92","MCAV",1,10,"MF",20230710.191,"10/07/2023",67839,888.7,8.4,30.6,14.82,419,705.5,286.5,0.406,638.3,0.36,0.73,433,0.18,2478,0.09,71350,"--------","-------",836,7480,0,773.5,883,109.5,0.124,573.4,0.36,0.267,607,0.057,10180,0.676,10193,"--------","-------",7480,7634,133.7,0.3622,533.136666666667,0.280333333333333,162.286666666667
"93","MCAV",2,10,"MF",20230710.192,"10/07/2023",67869,744.5,8.5,30.6,14.81,511.2,836.1,324.9,0.389,605.8,0.31,0.59,421,0.32,2579,0.09,62011,"--------","-------",1171,6720,0,766.8,880.4,113.6,0.129,561.6,0.4,0.29,614,0.644,10819,0.067,10904,"--------","-------",7654,7870,130.7,0.3622,533.136666666667,0.280333333333333,162.286666666667
"94","MCAV",2,10,"MF",20230710.193,"10/07/2023",67879,854.2,8.5,30.6,14.82,462.9,747.7,284.8,0.381,605.3,0.33,0.67,483,0.23,2907,0.1,88204,"--------","-------",1098,9982,0,747,856.2,109.2,0.128,571.7,0.4,0.301,571,0.635,9174,0.063,10109,"--------","-------",6406,6640,156.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"95","MCAV",2,10,"MF",20230710.194,"10/07/2023",67889,762.9,8.5,30.6,14.81,472.3,735.4,263.1,0.358,658.6,0.37,0.67,431,0.23,2561,0.1,65652,"--------","-------",979,7547,0,758.4,861.5,103.1,0.12,593.5,0.41,0.298,647,0.631,10294,0.071,10761,"--------","-------",7202,7456,138.8,0.3622,533.136666666667,0.280333333333333,162.286666666667
"96","MCAV",2,10,"MF",20230710.195,"10/07/2023",67899,683,8.5,30.6,14.8,479.3,808.8,329.6,0.407,661.6,0.4,0.69,413,0.21,2358,0.1,58555,"--------","-------",862,6592,0,894.9,1023.9,129,0.126,577,0.37,0.238,543,0.069,11636,0.693,11640,"--------","-------",8804,8999,113.6,0.3622,533.136666666667,0.280333333333333,162.286666666667
"97","MCAV",2,10,"MF",20230710.196,"10/07/2023",67909,781.3,8.5,30.6,14.8,435.7,743.8,308.1,0.414,571.4,0.32,0.65,444,0.25,2658,0.1,79794,"--------","-------",1056,8695,0,770.4,887.7,117.3,0.132,552.4,0.36,0.279,592,0.654,10948,0.068,11242,"--------","-------",7852,8081,127.4,0.3622,533.136666666667,0.280333333333333,162.286666666667
"98","MCAV",3,10,"MF",20230710.197,"10/07/2023",67951,900,8.6,30.6,14.79,459.9,702.2,242.4,0.345,547.8,0.29,0.62,410,0.27,2588,0.11,119009,"--------","-------",1075,14109,0,687.7,784.8,97.1,0.124,547,0.39,0.343,621,0.584,10068,0.073,10551,"--------","-------",6575,6866,152.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"99","MCAV",3,10,"MF",20230710.198,"10/07/2023",67960,628,8.5,30.6,14.81,582.8,971.1,388.3,0.4,666.6,0.34,0.67,415,0.24,2160,0.1,56005,"--------","-------",875,6175,0,1021.5,1164.8,143.3,0.123,589.5,0.42,0.253,561,0.075,12703,0.671,12745,"--------","-------",9406,9654,106.3,0.3622,533.136666666667,0.280333333333333,162.286666666667
"100","MCAV",3,10,"MF",20230710.199,"10/07/2023",67969,900,8.5,30.6,14.78,370,541.2,171.2,0.316,564.7,0.27,0.68,436,0.19,2914,0.13,108727,"--------","-------",970,15303,0,583.9,662.6,78.6,0.119,546.3,0.36,0.321,686,0.603,10681,0.077,10985,"--------","-------",7211,7500,138.7,0.3622,533.136666666667,0.280333333333333,162.286666666667
"101","MCAV",3,10,"MF",20230710.2,"10/07/2023",67978,717.1,8.6,30.6,14.79,365.7,588.1,222.4,0.378,577.5,0.31,0.66,432,0.21,2575,0.12,78864,"--------","-------",955,10432,0,722.4,812.3,89.9,0.111,586.3,0.35,0.229,565,0.667,14961,0.104,15031,"--------","-------",11284,11674,88.6,0.3622,533.136666666667,0.280333333333333,162.286666666667
"102","MCAV",3,10,"MF",20230710.201,"10/07/2023",67989,765.5,8.5,30.6,14.78,469.2,747.3,278.1,0.372,595.8,0.28,0.67,449,0.23,2507,0.1,76016,"--------","-------",972,8270,0,779.2,892.1,112.9,0.127,568,0.36,0.314,659,0.618,9909,0.068,10208,"--------","-------",6791,7023,147.3,0.3622,533.136666666667,0.280333333333333,162.286666666667
"103","MCAV",4,10,"MF",20230710.202,"10/07/2023",68047,900,7.6,30.6,14.78,253.1,374.3,121.2,0.324,422,0.18,0.62,438,0.22,2946,0.16,152437,"--------","-------",1091,25018,200,326.6,389.5,63,0.162,423.8,0.27,0.554,655,0.403,8483,0.044,70455,"--------","-------",3951,6850,253.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"104","MCAV",4,10,"MF",20230710.203,"10/07/2023",68057,900,7.6,30.6,14.78,218.6,316.6,98,0.31,434.2,0.2,0.66,441,0.19,3255,0.15,174430,"--------","-------",1058,27843,300,291.3,341.5,50.1,0.147,433,0.27,0.456,628,0.169,2756,0.375,13419,"--------","-------",6398,5782,156.3,0.3622,533.136666666667,0.280333333333333,162.286666666667
"105","MCAV",4,10,"MF",20230710.204,"10/07/2023",68066,900,7.7,30.7,14.77,357.6,552.1,194.5,0.352,510.2,0.23,0.66,389,0.23,2473,0.11,131202,"--------","-------",926,15511,0,521.3,605.8,84.6,0.14,484.9,0.31,0.389,649,0.551,9251,0.06,23006,"--------","-------",5688,6726,175.8,0.3622,533.136666666667,0.280333333333333,162.286666666667
"106","MCAV",4,10,"MF",20230710.205,"10/07/2023",68076,900,7.7,30.7,14.76,383,592.3,209.3,0.353,540.3,0.26,0.66,467,0.23,2908,0.12,114321,"--------","-------",1093,14232,0,555.5,642.9,87.4,0.136,504.2,0.37,0.406,662,0.556,9752,0.038,32909,"--------","-------",5915,6938,169.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"107","MCAV",4,10,"MF",20230710.206,"10/07/2023",68085,900,7.8,30.6,14.76,483.7,778.8,295.1,0.379,635.5,0.33,0.71,468,0.2,2862,0.09,87683,"--------","-------",984,8699,0,773.4,881.5,108.2,0.123,550.5,0.4,0.304,675,0.622,10672,0.075,11111,"--------","-------",7393,7670,135.3,0.3622,533.136666666667,0.280333333333333,162.286666666667
"108","MCAV",5,10,"MF",20230710.207,"10/07/2023",68125,900,7.8,30.6,14.76,185.4,236.6,51.2,0.216,422.2,0.21,0.6,413,0.16,3114,0.24,174570,"--------","-------",969,42387,300,219.6,253.4,33.8,0.134,399.5,0.23,0.279,310,0.435,1025,0.286,13026,"--------","-------",5778,4253,173.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"109","MCAV",5,10,"MF",20230710.208,"10/07/2023",68135,900,7.8,30.6,14.76,241.4,358.3,116.9,0.326,453.8,0.26,0.7,428,0.15,2978,0.15,140754,"--------","-------",868,21890,200,324.3,377.5,53.2,0.141,436.6,0.27,0.405,630,0.518,9824,0.077,36962,"--------","-------",5788,8181,172.8,0.3622,533.136666666667,0.280333333333333,162.286666666667
"110","MCAV",5,10,"MF",20230710.209,"10/07/2023",68146,830,7.8,30.6,14.75,398.5,651.4,252.9,0.388,594.9,0.35,0.69,367,0.2,1889,0.1,74291,"--------","-------",714,8226,0,736.8,840.2,103.4,0.123,556,0.37,0.271,638,0.662,11696,0.067,11727,"--------","-------",8479,8697,117.9,0.3622,533.136666666667,0.280333333333333,162.286666666667
"111","MCAV",5,10,"MF",20230710.21,"10/07/2023",68157,781.8,7.8,30.6,14.75,460,724,264,0.365,635.6,0.36,0.72,421,0.18,2550,0.1,87940,"--------","-------",854,9436,0,771.6,878.6,107,0.122,571.1,0.36,0.294,655,0.632,11612,0.073,11677,"--------","-------",8131,8390,123,0.3622,533.136666666667,0.280333333333333,162.286666666667
"112","MCAV",5,10,"MF",20230710.211,"10/07/2023",68169,900,7.7,30.6,14.75,265.1,404.8,139.6,0.345,419.6,0.22,0.68,398,0.19,2695,0.14,151263,"--------","-------",891,21532,200,390.5,464,73.6,0.159,412.4,0.23,0.473,542,0.45,8150,0.077,39784,"--------","-------",4252,6979,235.2,0.3622,533.136666666667,0.280333333333333,162.286666666667
"113","MCAV",6,10,"MF",20230710.212,"10/07/2023",68207,900,7.4,30.6,14.74,136.9,194.5,57.6,0.296,322.2,0.17,0.67,432,0.15,3883,0.18,209735,"--------","-------",1056,38703,500,167.6,208,40.4,0.194,305.5,0.08,0.591,447,0.29,4801,0.119,29025,"--------","-------",1878,5119,532.4,0.3622,533.136666666667,0.280333333333333,162.286666666667
"114","MCAV",6,10,"MF",20230710.213,"10/07/2023",68216,900,7.4,30.6,14.73,201.1,298.9,97.8,0.327,396.4,0.12,0.63,353,0.22,2374,0.15,150143,"--------","-------",867,23561,300,298.4,349.8,51.4,0.147,413.7,0.19,0.451,628,0.489,10267,0.059,11202,"--------","-------",5641,5971,177.3,0.3622,533.136666666667,0.280333333333333,162.286666666667
"115","MCAV",6,10,"MF",20230710.214,"10/07/2023",68227,900,7.4,30.6,14.74,267.4,442.4,175.1,0.396,486.4,0.24,0.67,503,0.21,3322,0.12,110895,"--------","-------",1163,14410,0,408.7,473.9,65.1,0.137,447.6,0.27,0.306,628,0.627,11983,0.067,12162,"--------","-------",8260,8520,121.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"116","MCAV",6,10,"MF",20230710.215,"10/07/2023",68236,900,7.5,30.6,14.74,141.8,215.1,73.3,0.341,345.8,0.19,0.64,393,0.19,2558,0.17,153844,"--------","-------",897,26205,500,188.2,232.2,44,0.19,343.8,0.23,0.497,489,0.219,2690,0.285,14051,"--------","-------",5431,4831,184.1,0.3622,533.136666666667,0.280333333333333,162.286666666667
"117","MCAV",6,10,"MF",20230710.216,"10/07/2023",68245,900,7.5,30.6,14.72,189,276.6,87.6,0.317,398.7,0.18,0.65,406,0.18,2872,0.17,175119,"--------","-------",943,30369,300,262.2,311.9,49.6,0.159,384.9,0.14,0.448,646,0.143,3282,0.409,12561,"--------","-------",6336,5901,157.8,0.3622,533.136666666667,0.280333333333333,162.286666666667
