frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp_1,septa_width,septa,number
cc_10_past_1,coral_city,10,0,past,0.146,0.05,0.043,0.012,0.007,12,
cc_10_past_1,coral_city,10,1,past,0.162,0.058,0.044,0.021,0.008,12,
cc_10_past_1,coral_city,10,8,past,0.162,0.061,0.047,0.05,0.009,12,
cc_10_past_1,coral_city,10,12,past,0.147,0.061,0.039,0.032,0.009,12,
cc_10_past_1,coral_city,10,15,past,0.152,0.063,0.046,0.046,0.009,12,
cc_10_past_1,coral_city,10,16,past,0.149,0.039,0.041,0.027,0.008,12,
cc_10_past_1,coral_city,10,17,past,0.143,0.041,0.046,0.017,0.012,12,
cc_10_past_1,coral_city,10,18,past,0.142,0.059,0.051,0.02,0.008,12,
cc_10_past_1,coral_city,10,19,past,0.14,0.06,0.048,0.028,0.01,12,
cc_10_past_1,coral_city,10,20,past,0.153,0.059,0.05,0.022,0.009,12,
cc_10_past_2,coral_city,10,1,past,0.13,0.047,0.038,0.023,0.009,12,
cc_10_past_2,coral_city,10,3,past,0.13,0.044,0.037,0.02,0.008,12,
cc_10_past_2,coral_city,10,5,past,0.139,0.05,0.038,0.015,0.01,12,
cc_10_past_3,coral_city,10,0,past,0.132,0.048,0.056,0.031,0.012,12,
cc_10_past_3,coral_city,10,1,past,0.11,0.033,0.037,0.029,0.009,12,
cc_10_past_3,coral_city,10,2,past,0.144,0.044,0.044,0.034,0.011,12,
cc_10_past_3,coral_city,10,3,past,0.14,0.036,0.045,0.034,0.015,12,
cc_10_past_5,coral_city,10,5,past,0.123,0.047,0.031,0.018,0.01,12,
cc_10_past_5,coral_city,10,8,past,0.122,0.039,0.033,0.047,0.008,12,
cc_10_past_5,coral_city,10,10,past,0.149,0.072,0.057,0.037,0.017,11,
cc_10_past_5,coral_city,10,11,past,0.139,0.05,0.044,0.047,0.01,12,
cc_10_past_5,coral_city,10,13,past,0.128,0.032,0.037,0.041,0.014,12,
cc_10_past_5,coral_city,10,14,past,0.133,0.054,0.043,0.016,0.015,12,
cc_10_past_5,coral_city,10,17,past,0.123,0.056,0.04,0.02,0.013,12,
cc_10_past_5,coral_city,10,18,past,0.125,0.042,0.042,0.024,0.011,12,
cc_10_past_5,coral_city,10,19,past,0.142,0.051,0.055,0.03,0.007,12,
cc_10_past_6,coral_city,10,1,past,0.134,0.041,0.035,0.048,0.012,12,
cc_10_past_6,coral_city,10,2,past,0.147,0.056,0.037,0.044,0.012,12,
cc_10_past_6,coral_city,10,3,past,0.138,0.053,0.04,0.045,0.012,12,
cc_10_past_6,coral_city,10,4,past,0.12,0.054,0.038,0.068,0.012,12,
cc_10_past_6,coral_city,10,5,past,0.129,0.047,0.043,0.055,0.014,12,
cc_10_past_6,coral_city,10,6,past,0.136,0.045,0.042,0.062,0.013,12,
cc_10_past_6,coral_city,10,7,past,0.142,0.066,0.047,0.047,0.011,12,
cc_10_past_7,coral_city,10,1,past,0.123,0.035,0.036,0.032,0.009,12,
cc_10_past_7,coral_city,10,2,past,0.115,0.047,0.04,0.022,0.012,12,
cc_10_past_7,coral_city,10,3,past,0.113,0.054,0.038,0.021,0.009,12,
cc_10_past_7,coral_city,10,4,past,0.119,0.023,0.034,0.017,0.009,10,
cc_10_past_7,coral_city,10,6,past,0.123,0.048,0.043,0.014,0.014,12,
cc_10_past_8,coral_city,10,1,past,0.125,0.056,0.041,0.024,0.01,12,
cc_10_past_8,coral_city,10,2,past,0.164,0.077,0.046,0.034,0.01,12,
cc_10_past_8,coral_city,10,3,past,0.132,0.069,0.053,0.03,0.014,12,
cc_10_past_8,coral_city,10,4,past,0.148,0.075,0.048,0.053,0.014,18,
cc_10_past_8,coral_city,10,7,past,0.143,0.05,0.055,0.018,0.011,12,
cc_10_past_8,coral_city,10,8,past,0.134,0.063,0.04,0.018,0.012,12,
cc_20_past_1,coral_city,20,0,past,0.157,0.059,0.045,0.048,0.009,13,
cc_20_past_1,coral_city,20,1,past,0.16,0.063,0.05,0.047,0.035,12,
cc_20_past_1,coral_city,20,2,past,0.168,0.066,0.04,0.041,0.018,12,
cc_20_past_1,coral_city,20,3,past,0.121,0.049,0.042,0.058,0.025,12,
cc_20_past_1,coral_city,20,4,past,0.139,0.061,0.042,0.078,0.016,12,
cc_20_past_2,coral_city,20,0,past,0.118,0.041,0.035,0.04,0.012,12,
cc_20_past_2,coral_city,20,5,past,0.133,0.064,0.044,0.064,0.011,12,
cc_20_past_2,coral_city,20,6,past,0.127,0.053,0.031,0.046,0.012,12,
cc_20_past_2,coral_city,20,7,past,0.107,0.036,0.041,0.062,0.01,12,
cc_20_past_2,coral_city,20,8,past,0.122,0.041,0.032,0.047,0.008,10,
cc_20_past_2,coral_city,20,9,past,0.124,0.046,0.04,0.049,0.012,12,
cc_20_past_2,coral_city,20,10,past,0.11,0.042,0.032,0.025,0.011,12,
cc_20_past_2,coral_city,20,13,past,0.118,0.047,0.034,0.048,0.011,12,
cc_20_past_2,coral_city,20,14,past,0.132,0.045,0.035,0.054,0.01,12,
cc_20_past_3,coral_city,20,0,past,0.09,0.033,0.023,0.029,0.008,12,
cc_20_past_3,coral_city,20,5,past,0.111,0.04,0.038,0.05,0.01,11,
cc_20_past_3,coral_city,20,6,past,0.13,0.035,0.037,0.075,0.009,12,
cc_20_past_3,coral_city,20,11,past,0.156,0.039,0.05,0.055,0.017,12,
cc_20_past_3,coral_city,20,12,past,0.144,0.04,0.052,0.056,0.009,12,
cc_20_past_3,coral_city,20,13,past,0.145,0.033,0.04,0.055,0.012,12,
cc_20_past_3,coral_city,20,16,past,0.13,0.031,0.04,0.062,0.012,12,
cc_20_past_3,coral_city,20,21,past,0.127,0.034,0.033,0.052,0.011,12,
cc_20_past_3,coral_city,20,23,past,0.117,0.037,0.03,0.046,0.01,12,
cc_20_past_3,coral_city,20,24,past,0.121,0.048,0.031,0.036,0.009,12,
cc_20_past_3,coral_city,20,25,past,0.108,0.027,0.033,0.026,0.013,12,
cc_20_past_4,coral_city,20,0,past,0.136,0.036,0.045,0.056,0.012,12,
cc_20_past_4,coral_city,20,2,past,0.137,0.046,0.035,0.061,0.014,12,
cc_20_past_4,coral_city,20,3,past,0.139,0.057,0.039,0.045,0.011,12,
cc_20_past_4,coral_city,20,4,past,0.122,0.041,0.046,0.036,0.015,12,
cc_20_past_4,coral_city,20,5,past,0.133,0.035,0.035,0.05,0.012,12,
cc_20_past_4,coral_city,20,6,past,0.129,0.055,0.036,0.061,0.012,12,
cc_20_past_4,coral_city,20,7,past,0.123,0.042,0.038,0.055,0.011,12,
cc_20_past_5,coral_city,20,0,past,0.126,0.07,0.041,0.066,0.01,12,
cc_20_past_5,coral_city,20,8,past,0.144,0.06,0.048,0.07,0.014,12,
cc_20_past_5,coral_city,20,9,past,0.171,0.09,0.053,0.084,0.013,12,
cc_20_past_5,coral_city,20,10,past,0.121,0.056,0.042,0.057,0.012,12,
cc_20_past_5,coral_city,20,11,past,0.121,0.052,0.03,0.054,0.015,12,
cc_20_past_5,coral_city,20,12,past,0.102,0.04,0.04,0.03,0.01,12,
cc_20_past_5,coral_city,20,13,past,0.116,0.046,0.041,0.05,0.011,12,
cc_20_past_5,coral_city,20,14,past,0.13,0.051,0.039,0.05,0.012,12,
cc_20_past_5,coral_city,20,15,past,0.132,0.064,0.037,0.051,0.011,12,
cc_20_past_5,coral_city,20,16,past,0.113,0.047,0.03,0.046,0.013,12,
cc_20_past_5,coral_city,20,17,past,0.13,0.052,0.034,0.047,0.01,12,
cc_20_past_5,coral_city,20,18,past,0.109,0.046,0.037,0.042,0.012,12,
cc_20_past_5,coral_city,20,19,past,0.137,0.044,0.036,0.056,0.017,12,
cc_20_past_6,coral_city,20,0,past,0.127,0.041,0.039,0.067,0.014,12,
cc_20_past_7,coral_city,20,0,past,0.128,0.038,0.036,0.048,0.015,11,
cc_20_past_7,coral_city,20,1,past,0.115,0.04,0.034,0.059,0.012,12,
cc_20_past_7,coral_city,20,2,past,0.131,0.029,0.046,0.056,0.01,12,
cc_20_past_7,coral_city,20,8,past,0.127,0.035,0.029,0.053,0.012,12,
cc_20_past_7,coral_city,20,9,past,0.135,0.047,0.042,0.067,0.018,12,
cc_20_past_7,coral_city,20,10,past,0.127,0.038,0.039,0.046,0.013,11,
cc_20_past_7,coral_city,20,11,past,0.134,0.027,0.045,0.052,0.01,12,
cc_20_past_7,coral_city,20,12,past,0.137,0.031,0.043,0.054,0.011,12,
cc_20_past_7,coral_city,20,13,past,0.129,0.039,0.043,0.064,0.009,12,
cc_20_past_7,coral_city,20,14,past,0.108,0.035,0.033,0.072,0.015,12,
cc_20_past_7,coral_city,20,15,past,0.125,0.041,0.035,0.054,0.014,12,
cc_30_past_1,coral_city,30,1,past,0.167,0.046,0.04,0.075,0.019,12,
cc_30_past_1,coral_city,30,2,past,0.18,0.065,0.04,0.024,0.015,12,
cc_30_past_1,coral_city,30,3,past,0.186,0.06,0.06,0.048,0.024,12,
cc_30_past_1,coral_city,30,8,past,0.189,0.06,0.058,0.066,0.028,10,
cc_30_past_1,coral_city,30,12,past,0.169,0.058,0.044,0.093,0.022,12,
cc_30_past_2,coral_city,30,0,past,0.168,0.063,0.043,0.071,0.015,12,
cc_30_past_2,coral_city,30,4,past,0.145,0.039,0.045,0.066,0.013,12,
cc_30_past_2,coral_city,30,5,past,0.15,0.047,0.042,0.064,0.009,12,
cc_30_past_2,coral_city,30,6,past,0.14,0.046,0.045,0.057,0.013,11,
cc_30_past_2,coral_city,30,7,past,0.158,0.06,0.044,0.073,0.012,12,
cc_30_past_3,coral_city,30,1,past,0.157,0.051,0.057,0.09,0.011,12,
cc_30_past_3,coral_city,30,2,past,0.156,0.061,0.061,0.048,0.012,12,
cc_30_past_3,coral_city,30,3,past,0.134,0.047,0.046,0.052,0.011,11,
cc_30_past_3,coral_city,30,4,past,0.166,0.06,0.049,0.065,0.013,12,
cc_30_past_3,coral_city,30,5,past,0.162,0.064,0.065,0.065,0.013,12,
cc_30_past_3,coral_city,30,6,past,0.164,0.05,0.054,0.092,0.011,12,
cc_30_past_3,coral_city,30,7,past,0.148,0.06,0.06,0.08,0.013,12,
cc_30_past_3,coral_city,30,8,past,0.151,0.066,0.044,0.064,0.013,12,
cc_30_past_4,coral_city,30,0,past,0.182,0.066,0.042,0.048,0.014,12,
cc_30_past_4,coral_city,30,1,past,0.178,0.056,0.061,0.041,0.011,12,
cc_30_past_4,coral_city,30,2,past,0.187,0.061,0.046,0.051,0.016,12,
cc_30_past_4,coral_city,30,3,past,0.185,0.072,0.05,0.047,0.013,12,
cc_30_past_4,coral_city,30,6,past,0.192,0.053,0.048,0.073,0.017,12,
cc_30_past_4,coral_city,30,18,past,0.18,0.065,0.049,0.08,0.017,12,
cc_30_past_5,coral_city,30,0,past,0.189,0.056,0.056,0.047,0.014,12,
cc_30_past_5,coral_city,30,1,past,0.174,0.061,0.061,0.072,0.012,12,
cc_30_past_5,coral_city,30,6,past,0.154,0.057,0.041,0.081,0.01,11,
cc_30_past_5,coral_city,30,7,past,0.183,0.072,0.053,0.079,0.012,12,
cc_30_past_5,coral_city,30,8,past,0.179,0.05,0.042,0.044,0.01,12,
cc_30_past_5,coral_city,30,9,past,0.168,0.048,0.047,0.089,0.011,12,
cc_30_past_5,coral_city,30,10,past,0.185,0.066,0.04,0.063,0.012,12,
cc_30_past_5,coral_city,30,11,past,0.179,0.056,0.047,0.07,0.01,12,
cc_30_past_5,coral_city,30,15,past,0.144,0.067,0.055,0.069,0.012,12,
cc_30_past_6,coral_city,30,9,past,0.156,0.046,0.032,0.069,0.012,12,
cc_30_past_6,coral_city,30,12,past,0.16,0.049,0.043,0.084,0.01,12,
cc_30_past_6,coral_city,30,14,past,0.177,0.067,0.037,0.073,0.013,16,
cc_30_past_6,coral_city,30,19,past,0.14,0.039,0.036,0.044,0.01,12,
cc_30_past_6,coral_city,30,20,past,0.16,0.04,0.044,0.048,0.012,12,
cc_30_past_6,coral_city,30,21,past,0.15,0.046,0.045,0.057,0.012,12,
cc_30_past_7,coral_city,30,2,past,0.172,0.041,0.046,0.055,0.014,12,
cc_30_past_7,coral_city,30,4,past,0.141,0.052,0.041,0.043,0.013,12,
cc_30_past_7,coral_city,30,8,past,0.163,0.054,0.049,0.063,0.013,12,
cc_30_past_7,coral_city,30,11,past,0.178,0.064,0.051,0.06,0.011,12,
cc_30_past_8,coral_city,30,1,past,0.171,0.057,0.049,0.07,0.01,12,
cc_40_past_1,coral_city,40,0,past,0.194,0.038,0.057,0.05,0.015,12,
cc_40_past_1,coral_city,40,1,past,0.175,0.06,0.051,0.05,0.013,12,
cc_40_past_1,coral_city,40,2,past,0.18,0.073,0.061,0.045,0.013,12,
cc_40_past_1,coral_city,40,3,past,0.169,0.06,0.054,0.047,0.016,12,
cc_40_past_1,coral_city,40,8,past,0.17,0.055,0.051,0.062,0.011,13,
cc_40_past_1,coral_city,40,10,past,0.181,0.057,0.045,0.039,0.014,12,
cc_40_past_1,coral_city,40,11,past,0.188,0.068,0.053,0.048,0.014,12,
cc_40_past_1,coral_city,40,12,past,0.157,0.052,0.042,0.055,0.012,12,
cc_40_past_1,coral_city,40,14,past,0.181,0.048,0.044,0.035,0.012,12,
cc_40_past_2,coral_city,40,0,past,0.158,0.055,0.03,0.041,0.009,12,
cc_40_past_2,coral_city,40,1,past,0.171,0.056,0.057,0.053,0.013,12,
cc_40_past_2,coral_city,40,3,past,0.183,0.07,0.064,0.047,0.012,12,
cc_40_past_2,coral_city,40,4,past,0.166,0.051,0.04,0.052,0.011,12,
cc_40_past_2,coral_city,40,5,past,0.184,0.06,0.059,0.044,0.01,12,
cc_40_past_2,coral_city,40,6,past,0.181,0.061,0.057,0.043,0.012,12,
cc_40_past_2,coral_city,40,8,past,0.174,0.06,0.057,0.05,0.014,12,
cc_40_past_2,coral_city,40,9,past,0.185,0.073,0.055,0.057,0.015,12,
cc_40_past_2,coral_city,40,10,past,0.176,0.071,0.061,0.043,0.016,12,
cc_40_past_2,coral_city,40,11,past,0.181,0.06,0.043,0.068,0.013,12,
cc_40_past_3,coral_city,40,0,past,0.191,0.062,0.055,0.063,0.016,12,
cc_40_past_3,coral_city,40,3,past,0.175,0.051,0.053,0.054,0.019,12,
cc_40_past_3,coral_city,40,4,past,0.191,0.052,0.064,0.06,0.018,12,
cc_40_past_3,coral_city,40,5,past,0.168,0.054,0.052,0.055,0.014,12,
cc_40_past_3,coral_city,40,7,past,0.18,0.052,0.037,0.061,0.017,12,
cc_40_past_3,coral_city,40,8,past,0.167,0.042,0.052,0.058,0.015,12,
cc_40_past_3,coral_city,40,9,past,0.162,0.058,0.05,0.051,0.017,12,
cc_40_past_4,coral_city,40,0,past,0.139,0.044,0.051,0.032,0.013,12,
cc_40_past_4,coral_city,40,8,past,0.142,0.057,0.04,0.032,0.014,12,
cc_40_past_4,coral_city,40,9,past,0.176,0.054,0.046,0.048,0.017,12,
cc_40_past_4,coral_city,40,10,past,0.161,0.065,0.044,0.041,0.016,12,
cc_40_past_4,coral_city,40,11,past,0.157,0.067,0.063,0.053,0.014,12,
cc_40_past_4,coral_city,40,12,past,0.145,0.047,0.061,0.05,0.019,12,
cc_40_past_4,coral_city,40,13,past,0.162,0.062,0.066,0.045,0.015,12,
cc_40_past_4,coral_city,40,16,past,0.167,0.065,0.05,0.04,0.015,12,
cc_40_past_4,coral_city,40,17,past,0.168,0.065,0.053,0.047,0.013,12,
cc_40_past_4,coral_city,40,18,past,0.117,0.046,0.038,0.028,0.013,12,
cc_40_past_4,coral_city,40,19,past,0.145,0.052,0.056,0.029,0.017,12,
cc_40_past_4,coral_city,40,20,past,0.148,0.065,0.051,0.049,0.018,12,
cc_40_past_5,coral_city,40,0,past,0.18,0.078,0.061,0.057,0.012,12,
cc_40_past_5,coral_city,40,1,past,0.176,0.054,0.053,0.063,0.018,12,
cc_40_past_5,coral_city,40,2,past,0.168,0.048,0.055,0.04,0.011,12,
cc_40_past_5,coral_city,40,6,past,0.16,0.074,0.048,0.063,0.013,12,
cc_40_past_5,coral_city,40,7,past,0.165,0.075,0.057,0.062,0.016,12,
cc_40_past_5,coral_city,40,8,past,0.182,0.057,0.058,0.067,0.012,12,
cc_40_past_6,coral_city,40,1,past,0.159,0.049,0.049,0.084,0.011,12,
cc_40_past_6,coral_city,40,2,past,0.153,0.064,0.06,0.059,0.015,12,
cc_40_past_6,coral_city,40,3,past,0.169,0.048,0.066,0.052,0.016,12,
cc_40_past_6,coral_city,40,4,past,0.181,0.061,0.051,0.084,0.013,12,
cc_40_past_6,coral_city,40,5,past,0.154,0.054,0.062,0.034,0.017,12,
cc_40_past_6,coral_city,40,6,past,0.137,0.059,0.044,0.062,0.016,12,
cc_40_past_6,coral_city,40,7,past,0.161,0.051,0.055,0.077,0.014,12,
cc_40_past_7,coral_city,40,0,past,0.208,0.06,0.078,0.08,0.017,12,
cc_40_past_7,coral_city,40,2,past,0.193,0.077,0.072,0.068,0.16,12,
cc_40_past_7,coral_city,40,4,past,0.166,0.053,0.055,0.081,0.018,12,
cc_40_past_8,coral_city,40,0,past,0.135,0.063,0.052,0.036,0.009,12,
cc_40_past_8,coral_city,40,1,past,0.133,0.035,0.055,0.047,0.012,12,
cc_40_past_8,coral_city,40,2,past,0.155,0.057,0.049,0.057,0.017,12,
cc_40_past_8,coral_city,40,3,past,0.177,0.059,0.053,0.065,0.013,12,
cc_40_past_8,coral_city,40,4,past,0.157,0.049,0.052,0.056,0.012,12,
cc_40_past_8,coral_city,40,6,past,0.144,0.06,0.045,0.045,0.011,12,
mf_10_past_1,marthas_finyard,10,0,past,0.146,0.046,0.052,0.028,0.009,12,
mf_10_past_1,marthas_finyard,10,1,past,0.131,0.05,0.056,0.032,0.008,12,
mf_10_past_1,marthas_finyard,10,2,past,0.119,0.036,0.045,0.053,0.008,12,
mf_10_past_1,marthas_finyard,10,3,past,0.127,0.037,0.047,0.067,0.011,12,
mf_10_past_1,marthas_finyard,10,7,past,0.13,0.038,0.042,0.047,0.011,12,
mf_10_past_1,marthas_finyard,10,11,past,0.127,0.061,0.048,0.046,0.013,12,
mf_10_past_1,marthas_finyard,10,12,past,0.114,0.058,0.036,0.038,0.009,12,
mf_10_past_1,marthas_finyard,10,18,past,0.12,0.045,0.052,0.043,0.009,12,
mf_10_past_2,marthas_finyard,10,0,past,0.119,0.03,0.042,0.03,0.011,12,
mf_10_past_2,marthas_finyard,10,6,past,0.119,0.057,0.046,0.042,0.013,11,
mf_10_past_2,marthas_finyard,10,7,past,0.104,0.034,0.042,0.026,0.013,12,
mf_10_past_2,marthas_finyard,10,8,past,0.117,0.039,0.034,0.042,0.013,12,
mf_10_past_2,marthas_finyard,10,9,past,0.122,0.035,0.039,0.033,0.014,12,
mf_10_past_2,marthas_finyard,10,10,past,0.121,0.041,0.043,0.048,0.014,12,
mf_10_past_2,marthas_finyard,10,11,past,0.119,0.031,0.036,0.034,0.012,12,
mf_10_past_2,marthas_finyard,10,12,past,0.113,0.042,0.035,0.035,0.009,12,
mf_10_past_2,marthas_finyard,10,14,past,0.12,0.052,0.035,0.033,0.01,12,
mf_10_past_3,marthas_finyard,10,0,past,0.117,0.047,0.042,0.037,0.009,12,
mf_10_past_3,marthas_finyard,10,3,past,0.091,0.02,0.027,0.053,0.008,10,
mf_10_past_3,marthas_finyard,10,4,past,0.126,0.047,0.042,0.033,0.009,12,
mf_10_past_3,marthas_finyard,10,5,past,0.125,0.037,0.044,0.04,0.01,12,
mf_10_past_3,marthas_finyard,10,6,past,0.124,0.046,0.037,0.044,0.011,12,
mf_10_past_4,marthas_finyard,10,0,past,0.127,0.054,0.031,0.074,0.009,12,
mf_10_past_4,marthas_finyard,10,2,past,0.119,0.04,0.04,0.014,0.007,12,
mf_10_past_4,marthas_finyard,10,3,past,0.117,0.034,0.038,0.031,0.008,12,
mf_10_past_4,marthas_finyard,10,4,past,0.119,0.028,0.034,0.031,0.007,12,
mf_10_past_4,marthas_finyard,10,5,past,0.108,0.038,0.04,0.019,0.008,12,
mf_10_past_4,marthas_finyard,10,6,past,0.127,0.037,0.047,0.031,0.008,12,
mf_10_past_4,marthas_finyard,10,7,past,0.117,0.057,0.032,0.047,0.008,12,
mf_10_past_5,marthas_finyard,10,0,past,0.116,0.047,0.038,0.037,0.009,12,
mf_10_past_5,marthas_finyard,10,1,past,0.116,0.054,0.037,0.039,0.012,12,
mf_10_past_5,marthas_finyard,10,2,past,0.126,0.061,0.039,0.025,0.009,12,
mf_10_past_5,marthas_finyard,10,3,past,0.116,0.053,0.037,0.037,0.012,12,
mf_10_past_5,marthas_finyard,10,6,past,0.132,0.068,0.043,0.041,0.01,12,
mf_10_past_5,marthas_finyard,10,7,past,0.13,0.059,0.039,0.037,0.012,12,
mf_10_past_5,marthas_finyard,10,8,past,0.131,0.049,0.047,0.043,0.011,12,
mf_10_past_5,marthas_finyard,10,10,past,0.13,0.046,0.044,0.046,0.013,12,
mf_10_past_5,marthas_finyard,10,11,past,0.143,0.055,0.038,0.048,0.009,12,
mf_10_past_6,marthas_finyard,10,0,past,0.132,0.053,0.042,0.053,0.01,12,
mf_10_past_6,marthas_finyard,10,1,past,0.124,0.043,0.046,0.045,0.009,12,
mf_10_past_6,marthas_finyard,10,2,past,0.118,0.044,0.035,0.036,0.007,12,
mf_10_past_6,marthas_finyard,10,3,past,0.123,0.061,0.034,0.056,0.01,12,
mf_10_past_6,marthas_finyard,10,4,past,0.127,0.035,0.034,0.052,0.007,12,
mf_10_past_6,marthas_finyard,10,5,past,0.12,0.046,0.053,0.036,0.012,12,
mf_10_past_6,marthas_finyard,10,7,past,0.142,0.055,0.041,0.043,0.009,12,
mf_10_past_6,marthas_finyard,10,8,past,0.135,0.034,0.047,0.034,0.01,12,
mf_10_past_6,marthas_finyard,10,10,past,0.123,0.049,0.041,0.026,0.007,12,
