frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.867,0.325,0.294,0.103,1.089390457
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.704,0.292,0.234,0.069,1.089390457
mf_10_mcav_1,marthas,10,1,montastrea_cavernosa,0.94,0.311,0.262,0.073,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.808,0.423,0.317,0.34,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.905,0.348,0.218,0.262,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.839,0.324,0.369,0.215,1.089390457
mf_10_mcav_2,marthas,10,2,montastrea_cavernosa,0.881,0.395,0.243,0.169,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.607,0.305,0.23,0.108,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.908,0.312,0.338,0.143,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.974,0.352,0.216,0.115,1.089390457
mf_10_mcav_3,marthas,10,3,montastrea_cavernosa,0.8,0.419,0.322,0.123,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.437,0.418,0.39,0.033,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.312,0.352,0.401,0.034,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.074,0.428,0.427,0.095,1.089390457
mf_10_mcav_4,marthas,10,4,montastrea_cavernosa,1.108,0.23,0.298,0.051,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.99,0.234,0.344,0.071,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.959,0.237,0.354,0.056,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.86,0.253,0.31,0.019,1.089390457
mf_10_mcav_5,marthas,10,5,montastrea_cavernosa,0.773,0.266,0.35,0.047,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.27,0.458,0.317,0.046,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.082,0.469,0.396,0.074,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.267,0.483,0.407,0.038,1.089390457
mf_10_mcav_6,marthas,10,6,montastrea_cavernosa,1.163,0.485,0.294,0.053,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.058,0.35,0.236,0.019,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,1.051,0.346,0.339,0.059,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.778,0.235,0.281,0.031,1.089390457
mf_10_mcav_7,marthas,10,7,montastrea_cavernosa,0.693,0.259,0.195,0.058,1.089390457
mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.005,0.392,0.424,0.036,1.089390457
mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.984,0.46,0.377,0.038,1.089390457
mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,0.934,0.286,0.321,0.045,1.089390457
mf_10_mcav_8,marthas,10,8,montastrea_cavernosa,1.122,0.52,0.328,0.03,1.089390457
mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.389,0.498,0.484,0.066,1.975378643
mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.484,0.516,0.573,0.241,1.975378643
mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.544,0.536,0.601,0.129,1.975378643
mf_20_mcav_1,marthas,20,1,montastrea_cavernosa,1.538,0.581,0.562,0.036,1.975378643
mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.72,0.69,0.422,0.172,1.975378643
mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.622,0.536,0.499,0.109,1.975378643
mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.604,0.681,0.434,0.037,1.975378643
mf_20_mcav_2,marthas,20,2,montastrea_cavernosa,1.767,0.565,0.565,0.172,1.975378643
mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.396,0.39,0.572,0.079,1.975378643
mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.346,0.599,0.397,0.044,1.975378643
mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.436,0.51,0.45,0.031,1.975378643
mf_20_mcav_3,marthas,20,3,montastrea_cavernosa,1.403,0.397,0.526,0.04,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.797,0.175,0.334,0.064,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.888,0.321,0.272,0.062,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.868,0.327,0.293,0.015,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,1.019,0.349,0.39,0.021,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.882,0.364,0.334,0.031,1.975378643
mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.156,0.358,0.434,0.033,1.975378643
mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.344,0.412,0.309,0.06,1.975378643
mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.356,0.471,0.453,0.134,1.975378643
mf_20_mcav_5,marthas,20,5,montastrea_cavernosa,1.364,0.545,0.489,0.036,1.975378643
mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,1.135,0.347,0.449,0.08,1.975378643
mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,1.138,0.389,0.302,0.024,1.975378643
mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,0.896,0.355,0.304,0.124,1.975378643
mf_20_mcav_6,marthas,20,6,montastrea_cavernosa,1.183,0.362,0.374,0.097,1.975378643
mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,0.659,0.16,0.241,0.119,1.975378643
mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,1.176,0.412,0.382,0.075,1.975378643
mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,1.154,0.463,0.291,0.092,1.975378643
mf_20_mcav_7,marthas,20,7,montastrea_cavernosa,1.073,0.492,0.386,0.039,1.975378643
mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,1.086,0.358,0.311,0.097,1.975378643
mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,0.85,0.318,0.24,0.017,1.975378643
mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,1.008,0.383,0.391,0.027,1.975378643
mf_20_mcav_7a,marthas,20,7,montastrea_cavernosa,1.224,0.449,0.213,0.051,1.975378643
mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,1.166,0.336,0.337,0.025,1.975378643
mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,1.134,0.442,0.291,0.042,1.975378643
mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,1.008,0.391,0.397,0.06,1.975378643
mf_20_mcav_8,marthas,20,8,montastrea_cavernosa,0.95,0.299,0.235,0.099,1.975378643
mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.069,0.404,0.319,0.072,1.62338215
mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.003,0.392,0.325,0.069,1.62338215
mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.164,0.319,0.453,0.122,1.62338215
mf_30_mcav_1,marthas,30,1,montastrea_cavernosa,1.079,0.36,0.44,0.127,1.62338215
mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.273,0.437,0.29,0.155,1.62338215
mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.366,0.549,0.405,0.165,1.62338215
mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.553,0.582,0.483,0.153,1.62338215
mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.172,0.621,0.429,0.065,1.62338215
mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.957,0.368,0.284,0.087,1.62338215
mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.919,0.378,0.291,0.08,1.62338215
mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.194,0.503,0.356,0.062,1.62338215
mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.146,0.546,0.319,0.137,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.563,0.641,0.52,0.094,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.742,0.632,0.599,0.11,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.558,0.869,0.436,0.248,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.559,0.772,0.422,0.107,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.349,0.476,0.46,0.138,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.192,0.538,0.376,0.168,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.148,0.462,0.393,0.133,1.62338215
mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.361,0.515,0.392,0.095,1.62338215
mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.992,0.366,0.275,0.045,1.62338215
mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.974,0.366,0.299,0.109,1.62338215
mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.932,0.291,0.328,0.07,1.62338215
mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.938,0.358,0.33,0.069,1.62338215
mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,1.004,0.346,0.349,0.142,1.62338215
mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,0.917,0.227,0.362,0.099,1.62338215
mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,1.036,0.239,0.38,0.113,1.62338215
mf_30_mcav_7,marthas,30,7,montastrea_cavernosa,1.029,0.33,0.369,0.028,1.62338215
mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.142,0.407,0.422,0.038,1.62338215
mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.151,0.454,0.39,0.04,1.62338215
mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.038,0.555,0.351,0.036,1.62338215
mf_30_mcav_8,marthas,30,8,montastrea_cavernosa,1.106,0.489,0.349,0.022,1.62338215
mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.243,0.392,0.428,0.039,1.9254436
mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.101,0.455,0.209,0.041,1.9254436
mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.039,0.384,0.223,0.059,1.9254436
mf_40_mcav_1,marthas,40,1,montastrea_cavernosa,1.09,0.404,0.358,0.127,1.9254436
mf_40_mcav_2,marthas,40,2,montastrea_cavernosa,1.721,0.543,0.57,0.127,1.9254436
mf_40_mcav_2,marthas,40,2,montastrea_cavernosa,1.494,0.419,0.578,0.011,1.9254436
mf_40_mcav_2,marthas,40,2,montastrea_cavernosa,1.595,0.491,0.516,0.017,1.9254436
mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.065,0.413,0.382,0.03,1.9254436
mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.117,0.346,0.3,0.017,1.9254436
mf_40_mcav_3,marthas,40,3,montastrea_cavernosa,1.109,0.408,0.402,0.05,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.177,0.37,0.465,0.039,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.379,0.426,0.401,0.03,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,1.217,0.426,0.412,0.088,1.9254436
mf_40_mcav_4,marthas,40,4,montastrea_cavernosa,0.889,0.189,0.295,0.125,1.9254436
mf_40_mcav_5,marthas,40,5,montastrea_cavernosa,1.196,0.35,0.407,0.198,1.9254436
mf_40_mcav_5,marthas,40,5,montastrea_cavernosa,1.305,0.368,0.489,0.111,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.402,0.582,0.402,0.103,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.494,0.587,0.474,0.031,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.657,0.593,0.647,0.018,1.9254436
mf_40_mcav_6,marthas,40,6,montastrea_cavernosa,1.389,0.731,0.397,0.029,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.407,0.54,0.543,0.023,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.329,0.349,0.391,0.049,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.259,0.581,0.426,0.092,1.9254436
mf_40_mcav_7,marthas,40,7,montastrea_cavernosa,1.189,0.523,0.36,0.037,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.321,0.506,0.381,0.04,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,0.95,0.511,0.282,0.083,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.071,0.563,0.389,0.183,1.9254436
mf_40_mcav_8,marthas,40,8,montastrea_cavernosa,1.12,0.456,0.341,0.187,1.9254436
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.081,0.314,0.199,0.017,2.164571457
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,0.652,0.361,0.227,0.047,2.164571457
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.051,0.519,0.174,0.038,2.164571457
mf_50_mcav_1,marthas,50,1,montastrea_cavernosa,1.113,0.318,0.265,0.066,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.459,0.536,0.469,0.041,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.605,0.562,0.48,0.011,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.609,0.564,0.312,0.017,2.164571457
mf_50_mcav_3,marthas,50,3,montastrea_cavernosa,1.691,0.564,0.454,0.013,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.831,0.629,0.467,0.031,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.412,0.57,0.345,0.064,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.563,0.468,0.431,0.052,2.164571457
mf_50_mcav_4,marthas,50,4,montastrea_cavernosa,1.294,0.564,0.454,0.045,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.489,0.608,0.353,0.075,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.322,0.564,0.264,0.034,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,1.076,0.477,0.331,0.03,2.164571457
mf_50_mcav_5,marthas,50,5,montastrea_cavernosa,0.827,0.387,0.271,0.03,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,0.967,0.283,0.234,0.019,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,1.023,0.395,0.298,0.041,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,1.019,0.384,0.336,0.091,2.164571457
mf_50_mcav_6,marthas,50,6,montastrea_cavernosa,0.714,0.272,0.271,0.034,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.799,0.289,0.243,0.042,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.833,0.258,0.2,0.036,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.871,0.265,0.149,0.051,2.164571457
mf_50_mcav_2,marthas,50,7,montastrea_cavernosa,0.659,0.29,0.215,0.074,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.921,0.255,0.25,0.063,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,1.06,0.253,0.212,0.059,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.906,0.2,0.293,0.038,2.164571457
mf_50_mcav_7,marthas,50,7,montastrea_cavernosa,0.8,0.269,0.293,0.081,2.164571457
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.957,0.341,0.356,0.092,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,1.101,0.414,0.3,0.232,1.975378643
mf_20_mcav_4,marthas,20,4,montastrea_cavernosa,0.954,0.504,0.368,0.138,1.975378643
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.826,0.264,0.287,0.014,1.62338215
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.386,0.426,0.492,0.108,1.62338215
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.813,0.545,0.483,0.144,1.62338215
cc_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.351,0.457,0.384,0.074,1.62338215
