frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,septa_width,septa,ug_ml,fv_fm,sigma,p,pmax,cell_cm,chl_cell_ug
mf_10_past_1,marthas_finyard,10,0,past,0.146,0.046,0.052,0.012,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,1,past,0.131,0.05,0.056,0.009,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,2,past,0.119,0.036,0.045,0.018,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,3,past,0.127,0.037,0.047,0.013,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,7,past,0.13,0.038,0.042,0.016,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,11,past,0.127,0.061,0.048,0.018,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,12,past,0.114,0.058,0.036,0.012,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_1,marthas_finyard,10,18,past,0.12,0.045,0.052,0.009,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,0,past,0.119,0.03,0.042,0.008,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,6,past,0.119,0.057,0.046,0.012,0.013,11,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,7,past,0.104,0.034,0.042,0.012,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,8,past,0.117,0.039,0.034,0.009,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,9,past,0.122,0.035,0.039,0.01,0.014,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,10,past,0.121,0.041,0.043,0.01,0.014,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,11,past,0.119,0.031,0.036,0.007,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,12,past,0.113,0.042,0.035,0.01,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_2,marthas_finyard,10,14,past,0.12,0.052,0.035,0.01,0.01,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_3,marthas_finyard,10,0,past,0.117,0.047,0.042,0.01,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_3,marthas_finyard,10,3,past,0.091,0.02,0.027,0.01,0.008,10,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_3,marthas_finyard,10,4,past,0.126,0.047,0.042,0.011,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_3,marthas_finyard,10,5,past,0.125,0.037,0.044,0.012,0.01,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_3,marthas_finyard,10,6,past,0.124,0.046,0.037,0.008,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,0,past,0.127,0.054,0.031,0.008,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,2,past,0.119,0.04,0.04,0.007,0.007,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,3,past,0.117,0.034,0.038,0.008,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,4,past,0.119,0.028,0.034,0.007,0.007,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,5,past,0.108,0.038,0.04,0.007,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,6,past,0.127,0.037,0.047,0.008,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_4,marthas_finyard,10,7,past,0.117,0.057,0.032,0.01,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,0,past,0.116,0.047,0.038,0.009,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,1,past,0.116,0.054,0.037,0.014,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,2,past,0.126,0.061,0.039,0.009,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,3,past,0.116,0.053,0.037,0.011,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,6,past,0.132,0.068,0.043,0.012,0.01,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,7,past,0.13,0.059,0.039,0.011,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,8,past,0.131,0.049,0.047,0.017,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,10,past,0.13,0.046,0.044,0.009,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_5,marthas_finyard,10,11,past,0.143,0.055,0.038,0.008,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,0,past,0.132,0.053,0.042,0.01,0.01,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,1,past,0.124,0.043,0.046,0.008,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,2,past,0.118,0.044,0.035,0.007,0.007,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,3,past,0.123,0.061,0.034,0.01,0.01,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,4,past,0.127,0.035,0.034,0.01,0.007,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,5,past,0.12,0.046,0.053,0.013,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,7,past,0.142,0.055,0.041,0.009,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,8,past,0.135,0.034,0.047,0.01,0.01,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_6,marthas_finyard,10,10,past,0.123,0.049,0.041,0.006,0.007,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,1,past,0.116,0.048,0.033,0.012,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,2,past,0.125,0.054,0.043,0.013,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,3,past,0.11,0.034,0.047,0.014,0.008,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,4,past,0.126,0.046,0.038,0.019,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,5,past,0.128,0.048,0.051,0.011,0.011,10,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,7,past,0.12,0.067,0.033,0.016,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,8,past,0.121,0.048,0.04,0.012,0.008,10,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,9,past,0.128,0.053,0.041,0.012,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,10,past,0.126,0.047,0.045,0.014,0.011,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,11,past,0.125,0.051,0.039,0.011,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,12,past,0.135,0.079,0.037,0.012,0.015,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,14,past,0.131,0.06,0.043,0.013,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_7,marthas_finyard,10,15,past,0.141,0.059,0.055,0.014,0.015,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_8,marthas_finyard,10,2,past,0.111,0.045,0.043,0.011,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_8,marthas_finyard,10,3,past,0.126,0.059,0.047,0.014,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_8,marthas_finyard,10,4,past,0.132,0.064,0.031,0.009,0.009,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_8,marthas_finyard,10,5,past,0.14,0.053,0.049,0.01,0.013,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_10_past_8,marthas_finyard,10,7,past,0.117,0.049,0.038,0.009,0.012,12,2.507070343,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_20_past_1,marthas_finyard,20,0,past,0.142,0.048,0.06,0.011,0.014,12,2.221269488,0.3916667,459.4133,0.235,336.9367,547199.2,1.6234E-07
mf_20_past_1,marthas_finyard,20,1,past,0.135,0.043,0.05,0.008,0.01,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_1,marthas_finyard,20,2,past,0.153,0.053,0.046,0.014,0.012,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_1,marthas_finyard,20,3,past,0.157,0.052,0.056,0.021,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_1,marthas_finyard,20,6,past,0.163,0.041,0.047,0.024,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_1,marthas_finyard,20,7,past,0.146,0.041,0.054,0.013,0.015,10,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,0,past,0.143,0.044,0.047,0.017,0.013,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,5,past,0.155,0.048,0.062,0.017,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,8,past,0.154,0.063,0.051,0.018,0.013,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,9,past,0.162,0.066,0.049,0.017,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,10,past,0.153,0.073,0.043,0.012,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,11,past,0.151,0.059,0.046,0.012,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,12,past,0.121,0.036,0.031,0.009,0.011,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,13,past,0.124,0.041,0.04,0.017,0.016,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,14,past,0.148,0.074,0.055,0.023,0.021,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,15,past,0.143,0.052,0.041,0.015,0.021,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_2,marthas_finyard,20,16,past,0.137,0.062,0.045,0.015,0.016,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,0,past,0.183,0.055,0.072,0.024,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,5,past,0.176,0.066,0.072,0.023,0.019,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,6,past,0.156,0.052,0.057,0.011,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,7,past,0.146,0.063,0.041,0.023,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,8,past,0.164,0.057,0.053,0.02,0.02,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,9,past,0.12,0.054,0.055,0.014,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,10,past,0.143,0.059,0.054,0.015,0.018,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,11,past,0.17,0.051,0.047,0.014,0.018,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,12,past,0.162,0.066,0.059,0.019,0.018,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_3,marthas_finyard,20,13,past,0.171,0.058,0.058,0.016,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_4,marthas_finyard,20,0,past,0.135,0.043,0.038,0.019,0.018,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_4,marthas_finyard,20,1,past,0.158,0.051,0.044,0.015,0.018,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_4,marthas_finyard,20,2,past,0.149,0.05,0.052,0.013,0.013,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_4,marthas_finyard,20,3,past,0.163,0.055,0.067,0.013,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_4,marthas_finyard,20,4,past,0.121,0.051,0.039,0.018,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_4,marthas_finyard,20,5,past,0.149,0.063,0.052,0.025,0.02,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_5,marthas_finyard,20,1,past,0.144,0.059,0.043,0.021,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_5,marthas_finyard,20,2,past,0.152,0.055,0.058,0.018,0.012,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_5,marthas_finyard,20,3,past,0.147,0.05,0.044,0.019,0.019,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_6,marthas_finyard,20,0,past,0.153,0.065,0.051,0.017,0.013,11,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_6,marthas_finyard,20,5,past,0.127,0.069,0.053,0.024,0.016,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,0,past,0.13,0.053,0.045,0.019,0.016,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,2,past,0.152,0.061,0.058,0.023,0.02,10,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,3,past,0.157,0.063,0.073,0.017,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,4,past,0.156,0.068,0.043,0.021,0.019,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,5,past,0.132,0.059,0.041,0.015,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,6,past,0.144,0.065,0.047,0.02,0.018,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_7,marthas_finyard,20,7,past,0.13,0.083,0.054,0.02,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,0,past,0.127,0.043,0.057,0.025,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,2,past,0.108,0.046,0.037,0.016,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,3,past,0.144,0.045,0.041,0.015,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,4,past,0.135,0.056,0.04,0.017,0.017,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,5,past,0.121,0.04,0.047,0.015,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,6,past,0.107,0.044,0.032,0.011,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,7,past,0.127,0.06,0.039,0.013,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,8,past,0.129,0.068,0.041,0.016,0.014,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_20_past_8,marthas_finyard,20,9,past,0.137,0.055,0.051,0.016,0.015,12,2.221269488,0.4122778,492.45,0.2555556,295.2889,406892.1,4.36858E-07
mf_30_past_1,marthas_finyard,30,0,past,0.151,0.054,0.048,0.012,0.015,12,2.39034575,0.4796667,610.66,0.3353333,151.9667,443835.8,3.60608E-07
mf_30_past_1,marthas_finyard,30,4,past,0.157,0.057,0.041,0.015,0.015,12,2.39034575,0.4796667,610.66,0.3353333,151.9667,443835.8,3.60608E-07
mf_30_past_1,marthas_finyard,30,5,past,0.161,0.056,0.06,0.025,0.017,12,2.39034575,0.4796667,610.66,0.3353333,151.9667,443835.8,3.60608E-07
mf_30_past_1,marthas_finyard,30,6,past,0.175,0.051,0.056,0.007,0.016,12,2.39034575,0.4796667,610.66,0.3353333,151.9667,443835.8,3.60608E-07
mf_30_past_1,marthas_finyard,30,7,past,0.175,0.045,0.054,0.018,0.015,12,2.39034575,0.4796667,610.66,0.3353333,151.9667,443835.8,3.60608E-07
